Reg. No.,Project Name,Project Land Area (Sq Mtrs),Total Open Area (Sq Mtrs),Project Address,Project End Date,Type,Total Units,Total No. of Towers/Blocks,Promoter name,Promoter Type,Total no. Of Years Of Work Experience Of Group Entity In Gujarat,Total no. Of Completed Projects By Group Entity,Architect Name,Pool Avaliable,Disposal Of Sewage Water Avaliable,Lift Avaliable,Garden Avaliable,Security Avaliable,Drinking Water Avaliable,Water Conservation Avaliable,Water Supply Avaliable,Renewable Energy Avaliable,Community Hall Avaliable,Fire Safety Avaliable,Road Avaliable
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/RN49AA09949/310522,THE 31ST,"4,091","2,940.75","OPP. KAMESHWAR FLORANCE, ,B/H, ARAYMAN BUNGLOWS,, Daskroi, Ahmedabad, GUJARAT, 380059",31/12/2027,Residential/Group Housing,87,1,BEVERLY BUILDCON,PARTNERSHIP FIRM,,,,Pool: Yes,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/RAA13665/100624/310329,Indraprasth Abode,"12,382","7,228.56","B/s. Auda Library, Opp. Kalupur Bank Lane, , Daskroi, Ahmedabad, GUJARAT, 380058",31/03/2029,Residential/Group Housing,580,3,DEEP DEVELOPERS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MN292AA10192/020123,SAMATVA AMARYLLIS,"3,641","2,169.53","Samatva Amaryllis, Off SP Ring Road,, Daskroi, Ahmedabad, GUJARAT, 380060",31/12/2025,Mixed Development,113,6,SAMATVA AMARYLLIS INFRA,PARTNERSHIP FIRM,2,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MN187AA10087/150922,Swarnim Sun,"4,886","2,541.29","Swarnim Sun,Near Kavisha Panorama,, Daskroi, Ahmedabad, GUJARAT, 380058",31/12/2026,Mixed Development,230,1,GOLDEN PROJECTS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14658/070125/311228,AQUA VISTA,"15,258","8,258.43","AQUAVISTA, OPP. CENTENARY FLAT, ON. MALABAR COUNTY ROAD, Daskroi, Ahmedabad, GUJARAT, 382427",31/12/2028,Mixed Development,344,4,AARSH DEVELOPERS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14409/141124/310728,AARON ELINOR 51,"2,913","1,817.39","ELINOR 51,OPP.THE CAPITAL,, Daskroi, Ahmedabad, GUJARAT, 380060",31/07/2028,Mixed Development,70,1,AARON ASSOCIATES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14399/121124/310328,MADHUBAN KADAMB,"4,370",931.34,"202, VRAJDHAM ROAD,NEAR UJALA CIRCLE, Daskroi, Ahmedabad, GUJARAT, 382210",31/03/2028,Mixed Development,201,2,R J PARIKH DEVELOPERS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA14211/300924/300628,Sun Urban Park,"8,680","4,735.05","Sun Urbanpark, Nr. Saraswati Hospital, Daskroi, Ahmedabad, GUJARAT, 380058",30/06/2028,Mixed Development,265,3,Sun PT Realty LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: Yes,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA13907/290724/311227,SAMATVA MAGNOLIA,"9,831","5,609.71","SAMATVA MAGNOLIA, @132 FT. NEW OGNAJ-GOTA ROAD,, Daskroi, Ahmedabad, GUJARAT, 380060",31/12/2027,Mixed Development,371,4,SAMATVA MAGNOLIA INFRA,PARTNERSHIP FIRM,3,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA13821/080724/300328,GREEN ABALONE,"2,307","1,457.78","GREEN ABALONE, OPP SHELADIA LUXURIA STANZA ROAD, Daskroi, Ahmedabad, GUJARAT, 380058",30/03/2028,Mixed Development,104,1,SIDDHIK DEVELOPERS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA13809/080724/311228,SIDDHIPRIYA GRACIA,"9,591","5,511.18","Survey No. 456-452, Ghuma Shela 45 Mtr Road, , Daskroi, Ahmedabad, GUJARAT, 380058",31/12/2028,Mixed Development,564,4,SIDDHIPRIYA REALITY,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/DASKROI/Ahmedabad Municipal Corporation/MAA13008/210224/300627,SP EPITOME,"5,221","3,297.53","SHELA - CLUB O7 45 mt. ROAD,B/h CLUB O7, Nr. ORCHID VALLEY, Sanand, Ahmedabad, GUJARAT, 380058",30/06/2027,Mixed Development,402,1,SHRI PARSHVA EPITOME LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12526/251023,Embrace,"9,164","5,972.38","SHANTIGRAM TOWNSHIP,NR. VAISHNODEVI CIRCLE, Ahmedabad City, Ahmedabad, Gujarat,",31/07/2027,Residential/Group Housing,248,3,ADANI ESTATE MANAGEMENT PRIVATE LIMITED,COMPANY,18,13,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12513/211023,HR ELISEO II,"3,703","2,344.08","HR ELISEO II, OFF CLIANTHA RD, Ahmedabad City, Ahmedabad, Gujarat,",30/06/2027,Residential/Group Housing,78,3,HR SPACECON LLP,LIMITED LIABILITY PARTNERSHIP FIRM,5,2,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12257/010923,Aarohi Avinya,"3,584","2,391.59","Aarohi Avinya, B/h Shaman-8, Isro Colony Road, Ahmedabad City, Ahmedabad, Gujarat,",31/12/2028,Residential/Group Housing,80,1,KSHIPRA DEVELOPERS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,23,36,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA12006/230623,SHREE VISHNUDHARA ESSENCE,"5,712","3,972.34","SHREE VISHNUDHARA ESSENCE, OPP SOMVILLA BUNGLOWS, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2026,Residential/Group Housing,160,0,,,20,17,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11871/300523,ETERNITY BY RATNAAKAR,"3,850","2,234.7","Eternity by Ratnaakar, Opp. Ashok Vatika BRTS Bus Stop, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2028,Residential/Group Housing,57,1,NCPL BUILDSPACE LLP,LIMITED LIABILITY PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA11846/240523,SATYAMEV LUXOR,"5,828","2,544.15","SATYAMEV LUXOR, BESIDE SHIVALIK SATYAMEV, Ahmedabad City, Ahmedabad, Gujarat,",31/03/2029,Residential/Group Housing,152,1,SATYAMEV LUXOR,PARTNERSHIP FIRM,27,15,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RN52AA09952/010622,RAAMAH SHIVAAY,"6,305","5,110.49","Nr. Raama Emperro, Makarpura Main Road,, Vadodara, Vadodara, GUJARAT, 390009",31/03/2027,Residential/Group Housing,110,1,RAAMARAAJ REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,5,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA14096/050924/300628,SERENE 11,"3,096","1,806.79","Serene 11, Next to Romantica Villa, Bh. Nilambar Serene,Bhayli, Vadodara, Vadodara, GUJARAT, 391410",30/06/2028,Residential/Group Housing,11,1,CREATIVE REALTY,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA13857/220724/311229,DARSHANAM KINGSVILLE PHASE 2,"17,801.6","11,021.73","NEAR MAKARPURA AIRFORCE STATION , Vadodara, Vadodara, GUJARAT, 390014",31/12/2029,Residential/Group Housing,128,2,MSK VENTURES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA13636/060624/311228,AARYA EMPERRO 2,"2,974","1,657.71","18 MTR ROAD,NEAR DHANYAVI CHOKDI,NATIONAL HIGHWAY 8,SUSEN-TARSALI RING ROAD,TARSALI, Vadodara, Vadodara, GUJARAT, 391760",31/12/2028,Residential/Group Housing,23,2,SUDHAPATI DEVELOPERS PRIVATE LIMITED,COMPANY,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/RAA10828/A1R/220724/311227,AARNA 84,"2,904","2,128.25","Near Aristo Aura , Opp. Sangani skyz bhayli, Vadodara, Vadodara, Gujarat,",31/12/2027,Mixed Development,95,2,Nandkishor Developers,PARTNERSHIP FIRM,5,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/MN211AA10111/031022,VRUNDAVAN BLISS,"4,604.1","2,154.68","MOJE- BAPOD, SUB DISTRICT- VADODARA, DISTRICT - VADODARA, Vadodara, Vadodara, GUJARAT, 390019",30/06/2027,Mixed Development,244,5,DHIMAHI INFRA PRIVATE LIMITED,COMPANY,,,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/MAA14047/280824/311226,SHREEM TRIKUTA,849,498.41,"R.S No.309/2 T.P No.32 F.P No.12 O.P No.12 , Vadodara, Vadodara, GUJARAT, 390010",31/12/2026,Mixed Development,26,1,Trikuta associates,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: No,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Vadodara Municipal Corporation/MAA10623/A1M/240724/310329,AADHYA ELIOR,"10,016","7,117.71","RS 1738 FP 257 Beside Patel Ester Apprt, 24 Mtr Road, Vadodara, Vadodara, Gujarat,",31/03/2029,Mixed Development,228,9,AUM PROPERTIES,PARTNERSHIP FIRM,5,0,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA13025/230224/311228,PARK STREET,"7,709","5,654.81","PARKSTREET, OPPOSITE BANSAL MALL, , Vadodara, Vadodara, GUJARAT, 390004",31/12/2028,Residential/Group Housing,34,1,GAJANANA PROPERTIES,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: No,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA12954/190224/311228,KRISHNA DARSHAN NIWAS,"3,400","2,075.45","KRISHNA DARSHAN NIWAS, NEAR TAKSH GALAXY MALL, Vadodara, Vadodara, GUJARAT, 390019",31/12/2028,Residential/Group Housing,19,1,KRUSHNADARSHAN,PARTNERSHIP FIRM,0,0,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA12636/161123,SHANTAM NEST,"4,917","2,750.69","Opp. Darshanam Crest, Beside Shree Amar Shraddha Society, Vadodara, Vadodara, Gujarat,",31/12/2027,Residential/Group Housing,39,5,VAIBHAV INFRA,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA12544/261023,V R VIVANTA,"8,409.063","5,452.813","RS NO 577 PAIKKI 1 FP NO 29, Vadodara, Vadodara, Gujarat,",30/06/2030,Residential/Group Housing,436,7,NARNARAYAN ENTERPRISE,PARTNERSHIP FIRM,10,7,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA12335/290923,Pratham Bluets Phase 9,"40,314","1,103.35","Pratham Bluets, Road next to Zydex, Opp Shaishav School,, Vadodara, Vadodara, Gujarat,",31/12/2025,Residential/Group Housing,44,1,PRATHAM PROPERTIES,PARTNERSHIP FIRM,21,2,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA12033/280623,Rudransh Antilia,"4,745","3,131.34","Block No.221, Paiki, Vadodara, Vadodara, Gujarat,",31/03/2028,Residential/Group Housing,174,3,Dhanraj and sons Developers,PARTNERSHIP FIRM,1,1,,Pool: No,"Disposal of
sewage water No",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA11484/170323,Pratham Riviera Phase-4,"25,711","1,591.53","Bill Canal Road, Next to Cosmos House, , Vadodara, Vadodara, Gujarat,",15/12/2025,Residential/Group Housing,40,1,PRATHAM DEVELOPERS,PARTNERSHIP FIRM,20,3,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/VADODARA/VADODARA/Others/RAA09674/050122,PLATINUM SKY,"4,680","2,721.47","""PLATINUM SKY"", B/H. MAA PARTY PLOT, NEARVISHRANTI TULIP,, Vadodara, Vadodara, Gujarat,",31/10/2027,Residential/Group Housing,140,5,SHREEJI DEVELOPERS,PARTNERSHIP FIRM,10,0,,Pool: No,"Disposal of
sewage water No",Lift: No,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: No",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: No,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/RAA12759/080124/311229,RAGHUVIR SPELITO,"7,207","4,676.58","TP 7, FP 68, RS NO 14-2/PAIKY 1, Surat City, Surat, GUJARAT, 395007",31/12/2029,Residential/Group Housing,156,6,RAGHUVIR DEVELOPERS & BUILDERS,PARTNERSHIP FIRM,17,23,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/RAA12102/060723,ACACIA,"5,653.93","4,025.43","MOJE: - DUMAS, BLOCK NO.653, T.P. NO. 77 (DUMAS-BHIMPOR-GAVIYAR), Surat City, Surat, Gujarat,",31/12/2028,Residential/Group Housing,108,4,SILVRSTONE INVESTMENT LLP,LIMITED LIABILITY PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/SURAT/SURAT CITY/SUDA/RAA12080/050723,FREEDOM TOWERS,"10,872","7,165.48","T.P.S. NO: 28 (RUNDH-VESU), F.P. NO: 18, O.P. NO: 18, , Surat City, Surat, Gujarat,",31/12/2027,Residential/Group Housing,260,10,HI-SPEED ENTERPRISES LLP,LIMITED LIABILITY PARTNERSHIP FIRM,1,0,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: No,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA04324/A1R/211021,North Enclave,"14,306","8,536.6","Near Vaishnodevi Temple, Gandhinagar, Gandhinagar, Gujarat, 382421",30/06/2024,Residential/Group Housing,560,10,PACIFICA INDIA PROJECTS PRIVATE LIMITED,COMPANY,15,2,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00388/091017,Reflections,"16,086","12,335","Nr. Vaishnodevi Temple, Gandhinagar, Gandhinagar, Gujarat, 380060",31/12/2018,Residential/Group Housing,468,5,Pacifica Developers Private Limited,COMPANY,15,1,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA09056/150921,North Enclave L-Block,"14,306","8,583.6","TP-63 Khoraj, Gandhinagar, Gandhinagar, Gujarat,",31/12/2025,Mixed Development,58,1,PACIFICA INDIA PROJECTS PRIVATE LIMITED,COMPANY,15,2,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: No,Drinking Water: No,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA10325/170622,MAHER HOMES 5,"9,030","5,327.2","F.P.NO 123/2 Block 423B, Sanand, Ahmedabad, Gujarat,",31/08/2026,Residential/Group Housing,504,8,VISHWANATH ESTATE DEVELOPERS,PARTNERSHIP FIRM,10,4,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA07154/170620,MAHER HOMES 5,"9,030","5,327.2","F.P.NO 123/2 Block 423B, Sanand, Ahmedabad, Gujarat,",31/08/2026,Residential/Group Housing,504,8,VISHWANATH ESTATE DEVELOPERS,PARTNERSHIP FIRM,,,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: Yes",Community Hall: Yes,Fire Safety: Yes,Road: Yes
PR/GJ/AHMEDABAD/SANAND/AUDA/RAA07154/170620,RIVIERA SPRINGS,"3,36,911","8,974.47","SKY CITY,NEAR CLUB 07,S.P.RING ROAD, Sanand, Ahmedabad, Gujarat,",30/12/2026,Residential/Group Housing,320,3,SAFAL GOYAL REALTY LLP,LIMITED LIABILITY PARTNERSHIP FIRM,40,103,,Pool: No,"Disposal of
sewage water Yes",Lift: Yes,Garden: Yes,Security: Yes,Drinking Water: Yes,"Water
Conservation: Yes",Water Supply: Yes,"Renewable
Energy: No",Community Hall: Yes,Fire Safety: Yes,Road: Yes
