Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING
41 OF 2017 DATED 10.08.2017,ATS TOURMALINE,ALMOND INFRABUILD PVT. LTD.,"SEC 109, VILLAGE BABUPUR, GUR
UGRAM",GURUGRAM,279,475,309,1861,186,428,307,363,419,0,0,55,0,0,10.4187 (Acre),22-10-2019,90,"VITRIFIED TILES FLOORING IN LIVING, DINING & LOBBY; WOODEN/ VITRIFIED TILES FLOORING IN BEDROOMS; VITRIFIED TILES IN KITCHEN, UTILITY & SERVANT ROOM AND CERAMIC TILES IN TOILETS. BALCONIES WILL BE IN ANTI-SKID CERAMIC FLOORING","ALL KITCHEN COUNTERS IN PRE-POLISHED GRANITE/ MARBLE STONE, ELECTRICAL POINTS FOR KITCHEN CHIMNEY & HOB, WASHING MACHINE & FRIDGE TO BE PROVIDED. KITCHEN WILL BE PROVIDED WITH MODULAR CABINETS OF APPROPRIATE FINISH",MAIN ENTRANCE DOORS – PLYWOOD FRAMES WITH POLISHED VENEER ON TOP. ALL INTERNAL DOORS-LAMINATED PLYWOOD FRAMES . WINDOW FRAMES AND WINDOW PANELS OF ALUMINIUM/ UPVC SECTIONS,"PROVISION FOR ADEQUATE LIGHT & POWER POINTS. TELEPHONE & T.V. OUTLETS IN DRAWING, DINING AND ALL BEDROOM; MOULDED MODULAR PLASTIC SWITCHES & PROTECTIVE MCB'S",LIFTS TO BE PROVIDED FOR ACCESS TO ALL FLOORS FROM COMMON LOBBY,"PROVISION FOR ADEQUATE LIGHT & POWER POINTS. TELEPHONE & T.V. OUTLETS IN DRAWING, DINING AND ALL BEDROOM; MODULAR PLASTIC SWITCHES & PROTECTIVE MCB'S",OIL BOUND DISTEMPER OF APPROPRIATE COLOUR ON INTERIOR WALLS AND ON CEILINGS
272 OF 2017 DATED 09.10.2017,LIFESTYLE HOMES,VATIKA LTD.,"SECTOR 83, VILLAGE HARSARU, G
URUGRAM",GURUGRAM,72.90,21.60,27.00,40.50,24.30,16.20,5.40,13.50,0,0,0,0,0,0,12.83 (Acre),30-01-2018,88,REFER SECTION BELOW,REFER SECTION BELOW,ALUMINUM OR UPVC FRAME,"IS COMPLIANT MODULAR SWITCHES / SOCKETS, SWITCHGEAR AND DISTRIBUTION BOXES FROM STANDARD MAKES AND BRAND",SPACIOUS ELEVATORS WITH PLEASING INTERIORS,MENTIONED IN POINT NO.8 ABOVE,MENTIONED IN DETAIL IN SECTION BELOW.
GGM/412/144/2020/28 DATED 28.09.2020,URBAN HOMES-II EXTENSION,PYRAMID INFRATECH PRIVATE LIMITED,"VILLAGE BADHA, SECTOR-86",GURUGRAM,53.14,57,20.91,0,58.67,5.76,0,1.61,0,0,0,0,0,0,1.5 (Acre),Not available,Not available,I PS FLOORING,STONE COUNTER WITH TILE,EXTERNAL D/W M S- Z SECTION,AS PER STANDARD,AS PER STANDARD,AS PER STANDARD,NA
GGM/357/89/2019/51 DATED 11.09.2019,ORCHARD AVENUE 2,SIGNATURE BUILDERS PRIVATE LIMITED,"VILLAGE HAYATPUR SECTOR 93 GU
RUGRAM HARYANA",GURUGRAM,190.79,203.58,65.88,0,132.45,19.19,0,3.11,0,0,0,0,0,238.30,5.0 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), UPVC(WINDOW FRAME)",ISI MARKED,AS PER STANDARD,ISI MARKED,NA
GGM/383/115/2019/77 DATED 31.12.2019,SIGNATUREGLOBAL PROXIMA 1,SIGNATUREGLOBAL (INDIA) PRIVATE LIMITED,"VILLAGE HAYATPUR, SECTOR 89 G
URUGRAM, HARYANA",GURUGRAM,124.74,156.02,56.81,0,165.13,15.35,0,14.65,0,0,0,0,0,182.28,5.00 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), ALUMINIUMN/UPVC(WINDOW FRAME)",ISI MARKED,ISI MARKED,ISI MARKED,NA
157 OF 2017 DATED 28.08.2017,AIPL JOY STREET,ADVANCE INDIA PROJECTS LTD.,"SECTOR-66, VILLAGE MEDAWAS &
BADSHAHPUR, GURUGRAM",GURUGRAM,169.91,382.10,123.26,420.98,110.93,24.36,162.41,0,0,0,0,0,0,0,3.95 (Acre),30-06-2021,70,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,"9 PASSENGER LIFTS, 3 SERVICE LIFT",NOT APPLICABLE,CEMENT PLASTER
234 OF 2017 DATED 19.09.2017,KLJ SQUARE ( COMMERCIAL PROJECT),KLJ REALTECH PRIVATE LIMITED,"SECTOR-83, SHIKOHPUR, GURUGRA
M",GURUGRAM,86.43,208.60,38.76,0,0,13.65,0,0,0,0,0,0,0,0,14390.68 (Sqr/mtrs),31-12-2021,70,GRANITE/VITRIFIED TILES/KOTAH STONE,GRANITE COUNTER,GLASS/WOODEN DOORS/ALUMINIUM WINDOWS,LED LIGHTS (INTERNAL & EXTERNAL),HIGH SPEED LIFTS,LED LIGHTS (INTERNAL & EXTERNALS),PLASTER AND PAINT
GGM/363/95/2019/57 DATED 03.10.2019,ASHIANA ANMOL PLAZA PHASE I,ASHIANA HOUSING LIMITED,"REVENUE VILLAGE DHUNELA , SEC
TOR 33 , TEHSIL SHONA",GURUGRAM,113000,43000,85000,893000,153000,21000,408000,0,0,0,0,0,0,910000,0.339 (Acre),Not available,Not available,THE FLOORING IS CERAMIC IN ENTIRE UNIT,"FLOORING - CERAMIC DADO - CERAMIC KITCHEN COUNTER - KOTA STONE OR EQUIVALENT SS SINK-16''*16'''', S.S. SINGLE BOWL",DOOR FRAME- MS PRESSED STEEL WINDOW FRAME- ALUMINIUM ANODIZED OR POWDER COATED FRAME WITH FLOAT GLASS,"PIANO TYPE ISI APPROVED, SSK OR EQUIVALENT",JOHNSON LIFT,SAME AS ABOVE,OIL BOUND DISTEMPER
GGM/673/405/2023/17 DATED 23.01.2023,BIRLA NAVYA (AVIK PHASE-1),AVARNA PROJECTS LLP,"SECTOR- SECTOR-63A,VILLAGE- K
ADARPUR, MAIDAWAS, ULLAHWAS",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6104 (Acre),Not available,Not available,STONES / TILES/ANTI -SKID TILES/ EQUIVALENT /WOODEN FLOORING,ACRYLIC EMULSION /OBD/EQUIVALENT,WOODEN DOORS AND ALUMINIUM WINDOWS,LED FOR ONLY THE COMMON AREAS,I COMMON /PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,NA
GGM/597/329/2022/72 DATED 01.08.2022,ORCHID IVY,M/S ORCHID INFRASTRUCTURE DEVELOPERS PVT. LTD.,"M BLOCK, MAYFIELD GARDEN, SEC
TOR-51, GURGAON, HARYANA",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4152.75 (Sqr/mtrs),Not available,Not available,MARBLE/ VITRIFIED TILES/MATT FINISH TILES/ ANTI SKID CERAMIC TILES,"MODULAR KITCHEN WITH SS SINK AND C.P FITTINGS , CERAMIC TILES IN DDO 2 FT. ABOVE GRANITE COUNTER",WINDOWS FRAMES IN POWDER COATED ALUMINIUM OR EQUIVALENT / UPVC AND DOOR FRAMES IN MARANDI / HARDWOOD,SUPERIOR ISI APPROVED / EQUIVALENT FITTINGS,PASSENGER ELEVATOR- 08 PERSONS,N/A,ACRYLIC/PLASTIC EMULSION PAINT/ OBD
GGM/623/355/2022/98 DATED 27.10.2022,SIGNATURE GLOBAL CITY 81(2),STERNAL BUILDCON PRIVATE LIMITED,"VILLAGE NAKHDOLA,SECTOR-81, G
URUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7899 (Acre),Not available,Not available,VITRIFIED & CERAMIC TILES,OPEN KITCHEN,"LAMINATED, 34MM THICK",POLYCAB/HA VELLS/RR CABLES,OTIS/FUGITE CH,AKG/BEC/MO RPACK,NA
GGM/636/368/2022/111 DATED 28.11.2022,WHITELAND BLISSVILLE,WHITELAND CORPORATION PRIVATE LIMITED,SECTOR- 76,GURUGRAM,117.83,114.67,103.94,16.85,98.80,0,0,3.11,0,0,0,0,0,116.52,1.9256 (Acre),Not available,Not available,"VIRTRIFIED TILES/STONE (KAJARIA,SOMANY, NITCO OR EQUIVALENT)","VIRTRIFIED TILES(KAJARIA,SOMANY, NITCO OR EQUIVALENT), CERAMIC TILES/VITRIFIED TILES UPTO 2 FEET FROM COUNTER, OBD",RED MARANDI,"HAVELLS OR ANCHOR ROMA OR EQUIVALENT, MCB (SCHNEIDER, HAVELLS OR SIEMENS OREQUIVALENT)",JOHNSON OR KONE OR OTTIS OR THYSSEN KRUPP EQUIVALENT,"HAVELLS OR ANCHOR ROMA OR EQUIVALENT, MCB (SCHNEIDER, HAVELLS OR SIEMENS OREQUIVALENT)",N/A
GGM/845/577/2024/72 DATED 01.07.2024,ASHIANA AMARAH PHASE 4,ASHIANA HOUSING LIMITED,"REVENUE ESTATE OF VILLAGE- WA
ZIRPUR, SECTOR 93, DISTT. GURUGRAM, HARYANA",GURUGRAM,63,41,28,45,53,8,104,20,0,0,23,0,0,0,4.395 (Acre),Not available,Not available,NA,NA,NA,NA,NA,(A) ALL ELECTRICAL WIRING IN CONCEALED CONDUITS WITH COPPER WIRES. CONVENIENT POSITION & DISTRIBUTION OF LIGHT AND POWER PLUGS AND PROVISION FOR ELECTRICAL CHIMNEY ABOVE PLATFORM AND WATER PURIFIER POINT IN KITCHEN.(B) MODULAR ELECTRICAL SWITCHES WITH SOCKETS AND FAN REGULATORS OF SSK/ANCHOR/PANASONIC/NORTH WEST/LEGRAND OR EQUIVALENT,NA
GGM/445/177/2021/13 DATED 22.03.2021,INDEPENDENT FLOORS AT DLF GARDENCITY SECTOR 91/92,DLF BUILDERS & DEVELOPERS PRIVATE LIMITED,"DLF GARDENCITY, SECTOR 91 / 9
2,",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866 (Acre),Not available,Not available,IPS FLOORING / TILES / GRANITE,WHITE WASH / OBD,MS / AL,MODULAR FITTINGS,BRANDED MAKE,MODULAR FITTING,NA
333 OF 2017 DATED 24.10.2017,"INDIABULLS ONE 09, PHASE-1",CITRA PROPERTIES LTD.,"SECTOR-109, VILLAGE PAWALA KH
USRUPUR, GURGRAM, HARYANA",GURUGRAM,94.27,208.05,45.01,856.30,43.63,16.83,554.20,14.20,0,0,37.17,0,0,450,3.216 (Acre),04-05-2023,100,VITRIFIED TILES,FINISHED WITH TILES AND COUNTER STONE,ALUMINIUM FRAME WITH GLASS,IS CERTIFIED ELECTRICAL FITTING,10 LIFTS OF JOHNSON & 8 OF KONE,IS CERTIFIED ELECTRICAL FITTING,TILES & PAINTS
GGM/480/212/2021/48 DATED 07.09.2021,SATYA MERANO GREENS,SATYA TOWNSHIPS PRIVATE LIMITED,"SECTOR 99 A, GURUGRAM",GURUGRAM,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
GGM/286/2018/18 DATED 12.10.2018,ROSELIA-2,FOREVER BUILDTECH PVT LTD,"VILLAGE WAZIRPUR, SECTOR-95A,
TEHSIL-HARSARU, DISTRICT-GURUGRAM, HARYANA",GURUGRAM,87.61,90.63,22.44,0,54.26,8.77,0,2.18,0,0,0,0,0,0,2.5313 (Acre),30-10-2021,33.08,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), UPVC(WINDOW FRAME)",ISI MARKED,NA,ISI MARKED,NA
GGM/752/484/2023/96 DATED 23.10.2023,NANDAKA,GANGA GLOBAL HOMES PRIVATE LIMITED,"VILLAGE SIHI, SECTOR-84,",GURUGRAM,628.50,434.59,434.59,1705.69,803.60,179.57,1518.39,35.91,0,0,48.38,0,0,0,5.8406 (Acre),Not available,Not available,"BEDROOM-WOODEN FLOORING, LIVING DINING AND KITCHEN -ITALIAN/ IMPORTED MARBLE,",WALL / FLOORING- ITALIAN /IMPORTED MARBLE COUNTER-GRANITE,WOODEN/WPC/ALLUMINIUM/UPVC,"MODULAR SWITCHES, BOXES, SOCKETS",ISI MARKED AS PER MARKET STANDARD,"MODULAR SWITCHES, BOXES, SOCKETS","FALSE CEILING, WALLS-PLASTIC EMUSION/ACRYLIC/PAINT FLOORING- ITALIAN/ IMPORTED MARBLE"
GGM/692/424/2023/36 DATED 02.02.2023 (SUPERSEDED BY GGM/745/477/2023/89 DATED 11.09.2023),THE NATION,JMS INFRA REALITY PVT LTD,VPO WAZIRPUR SECTOR 95,GURUGRAM,441.67,350.61,263.85,0,464.73,72.98,0,60.5,0,0,0,0,0,0,19.0125 (Acre),Not available,Not available,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
12 OF 2017 DATED 03.07.2017,ANDOUR HEIGHTS,SARVPRIYA SECURITIES PVT.LTD.,"SECTOR-71, GURURGAM",GURUGRAM,52.17,139.24,47.49,0,114.18,8.29,0,7.56,0,0,0,0,0,0,6.00 (Acre),14-03-2020,100,VITRIFIED & CERAMIC TILES,ISI MARKED,"WOODEN(DOOR FRAME), UPVC(WINDOW FRAME)",ISI MARKED,NA,ISI MARKED,NA
184 OF 2017 DATED 14.09.2017,AFFORDABLE GROUP HOUSING COLONY,CHIRAG BUILDTEC PRIVATE LIMITED,"SECTOR 95, VILLAGE DHORKA, GR
UGRAM",GURUGRAM,41.44,176.20,35.37,10.91,69.74,7.69,12.24,0,0,0,0,0,0,61.41,5.04375 (Acre),01-02-2018,45,CERAMIC/VITRIFIED TILES,"CERAMIC TILES, PAINT, GREEN MARBLE, SINK","BALCONY DOORS, WINDOWS- ALUMINIUM FRAMING WITH GLASS",LED LIGHTS IN COMMON AREA,12-13 PASSENGER WITH ARD,LED LIGHTS IN COMMON AREA,PAINT
15 OF 2018 DATED 19.01.2018,10.5437 ACRES GROUP HOUSING COLONY,CHD DEVELOPERS LTD.,"SECTOR-71, GURUGRAM",GURUGRAM,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
391 OF 2017 DATED 22.12.2017,AANGAN,ALTON BUILDTECH INDIA PVT. LTD.,"SECTOR 88-A TO 89-A, SUB-TEHS
IL HARSARU, GURUGRAM, HARYANA",GURUGRAM,58,14,13,157,41,0,0,0,0,0,0,0,0,2,1.8125 (Acre),15-12-2022,0,1 HABITABLE SPACES- VITRIFED TILE. 2 TOILET & BALCONY - CERAMIC TILE,1. KITCHEN PLATE FORM -GREEN MARBLE. 2 DADO ABOVE PLATFORM-CERAMIC (600 MM HEIGHT),1. DOOR FRAME -WOODEN 2 WINDOWS- M S Z SECTION,LED FITTING IN COMMON AREAS,TWO NOS IN EACH TOWER ( 1 PASSENGER & 1 STRETCHER CUM FIRE LIFT ),ELECTRICAL POINTS WITH SWTCH & SOCKET AND DB,OBD PAINT
GGM/391/123/2020/07 DATED 27.01.2020,BIRLA NAVYA (PHASE-II DRISHA 1A),AVARNA PROJECTS LLP,"POCKET G, BIRLA NAVYA, SECTOR
-63A, GURUGRAM, HARYANA",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4689.78 (Sqr/mtrs),Not available,Not available,MARBLE / STONE / TILES / ANTI-SKID TILES / LAMINATED / EQUIVALENT,TILES / PLASTIC PAINT / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES, ANODISED / POWDER COATED FRAMES FOR WINDOWS",LED FOR ONLY THE COMMON AREAS,1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,NA
15 OF 2018 DATED 19.01.2018,10.5437 ACRES GROUP HOUSING COLONY,CHD DEVELOPERS LTD.,"SECTOR-71, GURUGRAM",GURUGRAM,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
260 OF 2017 DATED 03.10.2017,AANGAN,ALTON BUILDTECH INDIA PVT. LTD.,"SECTOR-88A & 89A, TEHSIL HARS
ARU, DISTRICT GURUGRAM",GURUGRAM,175.13,287.12,70.10,0,182.73,21.35,0,0,0,0,0,0,0,3.73,5.5625 (Acre),30-06-2020,60,1 HABITABLE SPACES- VITRIFED TILE. 2 TOILET & BALCONY - CERAMIC TILE,1. KITCHEN PLATE FORM -GREEN MARBLE. 2 DADO ABOVE PLATFORM-CERAMIC (600 MM HEIGHT),1. DOOR FRAME -WOODEN 2 WINDOWS- M S Z SECTION,LED FITTING IN COMMON AREAS,TWO NOS IN EACH TOWER ( 1 PASSENGER & 1 STRETCHER CUM FIRE LIFT ),ELECTRICAL POINTS WITH SWTCH & SOCKET AND DB,OBD PAINT
391 OF 2017 DATED 22.12.2017,AANGAN,ALTON BUILDTECH INDIA PVT. LTD.,"SECTOR 88-A TO 89-A, SUB-TEHS
IL HARSARU, GURUGRAM, HARYANA",GURUGRAM,58,14,13,157,41,0,0,0,0,0,0,0,0,2,1.8125 (Acre),15-12-2022,0,1 HABITABLE SPACES- VITRIFED TILE. 2 TOILET & BALCONY - CERAMIC TILE,1. KITCHEN PLATE FORM -GREEN MARBLE. 2 DADO ABOVE PLATFORM-CERAMIC (600 MM HEIGHT),1. DOOR FRAME -WOODEN 2 WINDOWS- M S Z SECTION,LED FITTING IN COMMON AREAS,TWO NOS IN EACH TOWER ( 1 PASSENGER & 1 STRETCHER CUM FIRE LIFT ),ELECTRICAL POINTS WITH SWTCH & SOCKET AND DB,OBD PAINT
352 OF 2017 DATED 17.11.2017,"ESFERA, PHASE-II",IMPERIA STRUCTURES LTD.,"SECTOR-37-C, VILLAGE GHAROLI
KHURD AND BASAI, GURUGRAM, HARYANA",GURUGRAM,66524000,22175000,22175000,57654000,33262000,8870000,66524000,11087000,35479000,13305000,11087000,0,0,0,8.50 (Acre),31-12-2020,72,VITRIFIED TILES/WOODEN LAMINATED/CERAMIC TILES,VITRIFIED TILE ON FLOORING/CERAMIC TILES DADO & OBD PAINT,AL. EXTERNAL WOODEN DOOR FRAMES FOR INTERNAL DOORS,ISI MARKED,ISI MARKED,ISI MARKED,WALLS: OBD PAINT/CERAMIC TILES FLOORING: VITRIFIED TILES/CERMAIC TILES/WOODEN LAMINATE
65 OF 2017 DATED 18.08.2017,COMMERCIAL PROJECT,MAGIC EYE DEVELOPERS PRIVATE LIMITED,"SECTOR 106, VILLAGE DAULATABA
D, GURUGRAM",GURUGRAM,152.29,147.19,41.25,20,20,8.58,23.95,0,0,0,0,0,0,0,3.5035 (Acre),31-12-2024,0,"VITRIFIED TILES, CIMARC TILES, STONES, WOODEN FLOORING",VITRIFIED TILES,HARD WOOD FRAMES FLUSH DOOR SHUTTERS,COPPER WIRING CONCEALED CONDUTES MODULAR SWITCHES,NA,ELETRICAL FITTING COPPER WIRING COPPER WIRING CONCEALED CONDUTES MODULAR SWITCHES,VITRIFIED
GGM/390/122/2020/06 DATED 27.01.2020,BIRLA NAVYA PHASE-I (AMODA I AND II),AVARNA PROJECTS LLP,"POCKETS D & H, BIRLA NAVYA, S
ECTOR-63A, GURUGRAM, HARYANA",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15346.77 (Sqr/mtrs),Not available,Not available,MARBLE / STONE / TILES / ANTI-SKID TILES / LAMINATED / EQUIVALENT,TILES / PLASTIC PAINT / ACRYLIC EMULSION / EQUIVALENT,"WOODEN / EQUIVALENT DOOR FRAMES, ANODISED / POWDER COATED FRAMES FOR WINDOWS",LED FOR ONLY THE COMMON AREAS,1 LIFT / PLOT,ISI MARKED FOR ONLY THE COMMON AREAS,NA
281 OF 2017 DATED 09.10.2017,SEVEN ELEMENTS,VATIKA SEVEN ELEMENTS PVT. LTD.,"SECTOR 89-A, VILLAGE HARSARU
AND HAYATPUR, GURUGRAM",GURUGRAM,364.12,107.89,134.86,202.29,121.37,80.91,26.97,67.43,0,0,0,0,0,0,57870.05 (Sqr/mtrs),31-01-2022,29,REFER SECTION BELOW,REFER SECTION BELOW,REFER SECTION BELOW,"IS COMPLIANT MODULAR SWITCHES / SOCKETS, SWITCHGEAR AND DISTRIBUTION BOXES FROM STANDARD MAKES AND BRAND.",SPACIOUS ELEVATORS WITH PLEASING INTERIORS. PROVISION OF A STRETCHER LIFT IN ALL THE CORES.,REFER POINT 8,REFER SECTION BELOW.
354 OF 2017 DATED 17.11.2017,"ENIGMA, PHASE-2",ATHENA INFRASTRUCTURE LTD.,"SECTOR-110, VILLAGE PAWALA KH
USRUPUR, GURUGRAM",GURUGRAM,449.21,216.63,144.42,890.41,276.81,22.83,300.88,4.26,1900.00,0,11.42,0,0,431,80354.381 (Sqr/mtrs),30-09-2020,85,IMPORTED MARBLE / WOODEN FLOORING / ANTI SKID VITRIFIED TILES / ANTI SKID PREMIUM CERAMIC TILES / ANTI SKID TILES,GRANITE COUNTER TOP WITH BACK SPLASH IN GRANITE SS DOUBLE SINK AND IMPORTED CP FITTINGS.,GLAZED SLIDING SHUTTERS WITH UPVC / FRAMES WITH CLEAR / FROSTED GLASS,MODULAR SWITCHES.,PASSENGER AND SERVICE LIFTS,ISI APPROVED MAKES,AS SPECIFIED EARLIER
GGM/376/108/2019/70 DATED 14.11.2019,TULIP YELLOW,TULIP INFRATECH PVT. LTD.,"SECTOR 69, VILLAGE BADSHAHPUR",GURUGRAM,207.09,245.86,77.50,0,145.94,28.61,0,6.16,0,0,0,0,0,0,7.4583 (Acre),Not available,Not available,ANTI SKID TILES CERAMIC TILES/ VITRIFIED TILES,MARBLE/GRANITE COUNTER WITH SS SINK,UPVC/ HARDWOOD,SWITCHES ONLY (NO LIGHTS & FIXTURES),"3 NOS, CAPACITY10 & 13 PERSON, KONE OR EQUIVALENT",AS ABOVE SR. NO.8,NOT APPLICABLE
GGM/402/134/2020/18 DATED 20.07.2020,SIGNATURE GLOBAL PARK V,SIGNATUREGLOBAL HOMES PRIVATE LIMITED,"VILLAGE HARIYAHARA, SECTOR-36",GURUGRAM,215.36,209,93.52,0,294.42,40.40,0,0,0,0,0,0,0,297.61,10.53125 (Acre),Not available,Not available,NA,NA,NA,NA,NA,NA,NA
353 OF 2017 DATED 20.11.2017,"ENIGMA, PHASE-1A",ATHENA INFRASTRUCTURES LTD.,"SECTOR-110, VILLAGE PAWALA KH
USRUPUR, GURUGRAM, HARYANA",GURUGRAM,495.68,183.18,122.12,744.22,234.06,19.08,254.42,4.70,101.06,113.85,9.54,0,0,0,80354.381 (Sqr/mtrs),31-03-2018,100,IMPORTED MARBLE / WOODEN FLOORING / ANTI SKID VITRIFIED TILES / ANTI SKID PREMIUM CERAMIC TILES / ANTI SKID TILES,GRANITE COUNTER TOP WITH BACK SPLASH IN GRANITE SS DOUBLE SINK AND IMPORTED CP FITTINGS.,GLAZED SLIDING SHUTTERS WITH UPVC / FRAMES WITH CLEAR / FROSTED GLASS,MODULAR SWITCHES.,PASSENGER AND SERVICE LIFTS,ISI APPROVED MAKES,AS SPECIFIED EARLIER
306 OF 2017 DATED 17.10.2017,THE HEARTSONG,EXPERION DEVELOPERS PVT. LTD.,"SECTOR 108, GURUGRAM",GURUGRAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.389 (Acre),Not available,Not available,"GOOD QUALITY VITRIFIED TILES, LAMINATED WOODEN FLOORING, CERAMIC TILES, IMPORTED AND INDIAN MARBLE ETC.",GRANITE COUNTER AND SINK PROVIDED.,"HARD WOOD DOOR FRAME SKIN MOULDED DOOR WITH ENAMEL PAINT AS APPLICABLE /LAYOUT, MAIN ENTRY DOOR FACTORY PRESSED VENEERED FLUSH DOOR, EXTERNAL DOORS AND WINDOW IN POWDER COATED ALUMINIUM WITH GLASS.",PROVIDED AS PER REQUIREMENT,2 NOS. 13 PASSENGERS HAVE BEEN INSTALLED IN EACH TOWER.,PROVIDED AS PER REQUIREMENT,NA
279 OF 2017 DATED 09.10.2017,THE EDGE TOWERS,RAMPRASTHA PROMOTERS AND DEVELOPERS PVT. LTD.,"SECTOR 44, GURUGRAM",GURUGRAM,158.40,74.39,114.44,241.16,147.38,45.82,185.41,33.00,0,0,16.00,0,0,1225.69,30634.70 (Sqr/mtrs),31-12-2024,30,MASTER BEDROOM: LAMINATED WOODEN FLOORING LIVING / DINING / PASSAGE & LOBBY WITHIN APARTMENT & BEDROOMS: VITRIFIED TILES BALCONY: ANTI-SKID TILES KITCHEN & TOILETS: ANTI-SKID VITRIFIED TILES,STAINLESS STEEL SINK WITH DRAINBOARD,INTERNAL DOORS: HARDWOOD DOOR FRAMES VENEERED & POLISHED / SKIN MOULDED SHUTTERS EXTERNAL GLAZING'S: POWDER-COATED ALUMINIUM GLAZING,"MODULAR TYPE SWITCHES & SOCKETS, COPPER WIRING (FITTINGS LIKE FANS, LIGHTS FIXTURES, GEYSERS, APPLIANCES ETC. ARE NOT PROVIDED) & POWER BACK-UP.",3 LIFTS IN EACH TOWER,"MODULAR TYPE SWITCHES & SOCKETS, COPPER WIRING (FITTINGS LIKE FANS, LIGHTS FIXTURES, GEYSERS, APPLIANCES ETC. ARE NOT PROVIDED) & POWER BACK-UP.",ACRYLIC EMULSION
299 OF 2017 DATED 13.10.2017,PARK TERRA,BPTP LTD.,SECTOR 37-D,GURUGRAM,226.84,86.01,112.17,418.02,132.41,78.79,780.66,87.83,348.34,0,0,0,0,0,63075 (Sqr/mtrs),12-10-2020,0,LIVING& DRAWING& KITCHEN- IMPORTED MARBLE TOILETS –VITRIFIED TILLES BALCONY-CERAMIC TILES,MODULAR KITCHEN,EXTERNAL –UPVC INTERNAL- FRAME-RED MIRANDI DOORS – FLUSH DOORS,LEGRAND,2 NOS.,LEGRAND,OBD /ACRYLIC EMULSION PAINT
228 OF 2017 DATED 19.09.2017,SPORTS VILLE ( AFFORDABLE GROUP HOUSING PROJECT),HCBS PROMOTERS & DEVELOPERS PVT. LTD,"SECTOR 2 & 35, GURUGRAM",GURUGRAM,169.72,213.34,57.73,0,203.95,26.28,0,5.11,0,0,0,0,0,232.81,6.85 (Acre),03-12-2019,100,VITRIFIED TILE,"DESIGNER GLAZED CERAMIC TILE UP TO 2'-0"" HEIGHT ABOVE COUNTER AND STAINLESS SINGLE BOWL SINK",INTERNAL HARD WOOD CHOWKHAT AND FLUSH DOOR OUTER ALUMINIUM DOOR AND WINDOWS,PVC CONDUIT AND ELECTRICAL WORK OF ANY GOOD MAKE AS PER MAKE SHEET ATTACHED,LIFT HAS BEEN INSTALLED WITH ALL SAFETY MEASURES.,NA,ACRYLIC DISTEMPER
130 OF 2017 DATED 28.08.2017,AFFORDABLE GROUP HOUSING OF 9.95475 ACRES,BREEZ BUILDERS AND DEVELOPERS PVT.LTD.,"SECTOR-33,SOHNA GURUGRAM",GURUGRAM,390.26,292.47,105.89,0,252.16,38.20,0,7.60,0,0,0,0,0,1000,9.95475 (Acre),18-02-2020,100,CERAMIC TILES/VITRIFIED TILES,FITTING FIXTURE SOMANY MARKED CP FITTING CERAMIC TILES UPTO 2 FEET ABOVE THE COUNTER,"PAINTED HARDWOOD FRAME, FLUSH DOORS, MS-Z SECTION FRAME",INDOASAIN MARKED SWITCHES & SOCKETS,OTIS,INDOASIAN SWITCHES & SOCKETS,OBD
