Project Name,Registration No.,Promoter Name,Project Address,Date of Registration
Aroma Royal,BRERAP72647-1/1312/R-1262/2022,Aroma Developers Pvt.Ltd.,"Aroma Royal , Near Water Pump Station, A.G Colony ,Patna, Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -Part Plot No.59",01 Feb 2022
ARS GARDENIA,BRERAP01034-1/720/R-557/2019,ARS CONSTRUCTIONS,"DARGAH ROAD, PATHER KI MASJID, Block- Patna Sadar Mauja - संदलपुर District - PatnaPlot No -916, 917",22 Oct 2021
ARTI RESIDENCY,BRERAP00323-3/186/R-1299/2022,SHRISTI HOMES PVT LTD,"8F, SHASTRI NAGAR, NEAR B.M.P-6, MUZAFFARPUR , Block- Musahari Mauja - कन्हौली विशुनदत्त District - MuzaffarpurPlot No -2421 NEW, 1917 OLD",15 Mar 2022
ARUN TOWER,BRERAP00226-1/116/R-429/2019,PARAS GRIH NIRMAN PRIVATE LIMITED,,14 Feb 2019
ARUN VATIKA,BRERAP10203-1/61/R-1258/2022,DYNAMIC DEVELOPERS,"MAUZA-RASTIPUR, P.S-PHULWARI SHARIF, THANA NO-35, PATNA., Block- Phulwari Sarif Mauja - फुलवारी District - PatnaPlot No -836/838",21 Jan 2022
ARUNA KUNJ,BRERAP01031-1/733/R-473/2019,SUDAMI HOMES PVT LTD,"Abhhimanyu Nagar,Budha Nagar,Bank Colony,Jalalpur,Rupaspur, Patna , Block- Danapur Mauja - जलालपुर District - PatnaPlot No -338",28 Feb 2019
ARUNAM KUTIR,BRERAP000306-3/321/R-934/2020,Kutir Housing Developers & Consultants Pvt. Ltd.,"JUDGES COLONY ROAD, SAGUNA, DANAPUR, Block- Danapur Mauja - सगुना District - PatnaPlot No -530P",29 Apr 2020
Arunoday Heights,BRERAP00351-003/R-1740/2024,A R CONSTRUCTIONS,,25 Jul 2024
ARVIND ENCLAVE,BRERAP00617-1/465/R-176/2018,SEVENIST INFRASTRUCTURE PRIVATE LIMITED,"SAINIK COLONY, GOLA ROAD, BAILEY ROAD, Block- Danapur Mauja - दानापुर District - PatnaPlot No -1391",20 Jan 2022
Asha Enclave,BRERAP00495-2/549/R-433/2019,Shreeya Construction Pvt. Ltd.,"Mauza Danapur Shahjadpur, Khata No. 187, Tauzi 5399, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -958(P)",15 Feb 2019
Asha Excell Tower,BRERAP00414-2/852/R-792/2019,ASHA CONSTRUCTIONS PRIVATE LIMITED,"Sheakhpura, Kanauzi Kauchara, Sampatchak , Patna, Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -443",21 Oct 2019
ASHA KIRAN ENCLAVE,BRERAP23338-1/176/R-1328/2022,DEVASHA HOMES PRIVATE LIMITED,"ASHOPUR,MATHYAPUR,ON PLOT NO 2062,KHATA NO-170, Block- Danapur Mauja - जमसौत District - PatnaPlot No -2062",31 Mar 2022
Asha Krishna Apartment,BRERAP00325-2/276/R-366/2019,Makan Developers (I) Pvt. Ltd.,"Tauzi 5339, khata 1616, Mauza Digha, Mohalla Ramjichak, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -11",25 Jan 2019
ASHA MANSION,BRERAP00831-1/598/R-909/2020,MUNDESHWARY BUILDCON AND DEVELOPERS PRIVATE LIMITED,"GOLA ROAD, THANA- DANAPUR, Block- Danapur Mauja - धनौत District - PatnaPlot No -257",19 Feb 2020
Asha Niwas Kunj,BRERAP00262-5/395/R-250/2018,MUSKAN CONSTRUCTIONS PRIVATE LIMITED,"Professor Colony, North Shastrinagar, Patna - 800023, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -323",15 Nov 2018
ASHA ORCHID,BRERAP15303-1/1077/R-827/2019,JEEVANSHREE ADITYA INFRA PVT. LTD,"SAMASTIPUR, DIST SAMASTIPUR, Block- Morwa Mauja - जितवारपुर मुसकारा District - SamastipurPlot No -KHATA NO-1, 110, OLD 424 NEW PLOT NO-102,103,106, OLD 812, 818 NEW",14 Nov 2019
ASHA VIHAR PHASE-III,BRERAP00055-3/573/R-453/2019,ASHA REALTY DEVELOPERS PRIVATE LIMITED,"MARIPUR, PS KAZIMOHAMMADPUR, Block- Musahari Mauja - मारीपुर District - MuzaffarpurPlot No -922 GHA(PART)",20 Feb 2019
ASHA VIHAR PHASE-IV,BRERAP00055-6/165/R-1472/2022,ASHA REALTY DEVELOPERS PRIVATE LIMITED,"MARIPUR CHAPRA LODI, PS-KAZI MOHAMMADPUR, MUZAFFARPUR, Block- Musahari Mauja - मारीपुर District - MuzaffarpurPlot No -922 KHA, GA, GHA",10 Oct 2022
ASHIANA DEV KUNJ,BRERAP00519-3/709/R-670/2019,ASHIANA ESTATES PRIVATE LIMITED,"DHIRACHAK, , Block- Patna Sadar Mauja - धीराचक District - PatnaPlot No -1735/1797/1799/1795",19 Jun 2019
ASHIANA GREEN CITY,BRERAP00237-1/154/R-53/2018,ASHIANA CREATORS PVT LTD,"MAUZA MAINPURA SHANKER, TAUZI-5234, THANA-24, KHATA-110,134,104,44,144, Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -409, 410,411,412,413,421,425,426&428",19 Jun 2018
Ashiana Green City Phase- 2,BRERAP00237-2/122/R-1253/2021,ASHIANA CREATORS PVT LTD,"Khata No- 104, 134, 35, 232, Tauzi No- 5234, Thana No- 34, Mauza- Mainpura Shankar, Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -406, 408, 426, 427, 428, 429, 431, 433",30 Dec 2021
ASHIANA MAJESTIC,BRERAP00519-2/635/R-624/2019,ASHIANA ESTATES PRIVATE LIMITED,"BORING ROAD, Block- Patna Sadar Mauja - ढ़कनपुरा District - PatnaPlot No -28",01 Feb 2022
ASHIANA MALL,BRERAP00265-003/10/R-1693/2024,Kamini Engicons Pvt Ltd.,,22 May 2024
ASHIANA SHAKTI TOWER,BRERAP00231-2/1176/R-1137/2021,ASHIANA MARKETING & CONSTRUCTION PVT. LTD.,"PAHARPUR, KHAGAUL ROAD, ANISABAD, Block- Patna Sadar Mauja - पहाड़पुर District - PatnaPlot No -483 / 487",12 Feb 2021
ASHIRWAD APARTMENT,BRERAP00418-2/574/R-476/2019,ASHA VIHAR PROPERTIES PRIVATE LIMITED,"RAJJU SAH LANE, Block- Musahari Mauja - महमदपुर काजी District - MuzaffarpurPlot No -124 KA KHA GA GHA",01 Mar 2019
ASHIRWAD ENCLAVE,BRERAP00140-4/936/R-752/2019,PREM ADITIYA HOMES PVT LTD,"SHIVA JEE NAGAR, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -3415, 1355",11 Sep 2019
Ashirwad Heritage and Ramdas Enclave,BRERAP00036-4/141/R-63/2018,ASHIRWAD ENGICON PRIVATE LIMITED,"Khata no. 146, Khesra No. 11, Tauzi No. 176, Mauza: Sheikhpura, Block- Patna Sadar Mauja - शेखपुरा District - PatnaPlot No -146",26 Jun 2018
Ashirwad Indrawati,BRERAP00930-2/673/R-688/2019,Ashirwad Engicon Real Estate Pvt Ltd,"Mauza Mainpur Shankar, Khata no 7, 20, Tauzi 5124, Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -563(P), 564(P)",15 Jul 2019
Ashirwad Rose Valley,BRERAP00036-7/671/R-1203/2021,ASHIRWAD ENGICON PRIVATE LIMITED,"Mauza-Nasirpur, Tajpur, Khata No.: 67, 209, 233, 86, Block- Patna Sadar Mauja - नसीरपुर ताजपुर District - PatnaPlot No -370, 372, 380, 381",23 May 2023
Ashirwad Siddhi Vinayak,BRERAP00036-6/672/R-715/2019,ASHIRWAD ENGICON PRIVATE LIMITED,"Mauza Bhogipur, Khata No. 10, Thana No. 104, Block- Sampatchak Mauja - भोगीपुर District - PatnaPlot No -151 & 323",13 Aug 2019
ASHIYANA CITY,BRERAP71127-1/767/R-611/2019,GREATER PATNA HOME DEVELOPERS PRIVATE LIMITED,,09 May 2019
ASHOK NIBHA ABHISHEK APARTMENT,BRERAP13208-1/110/R-1425/2022,MBR NIWAS  PRIVATE LIMITED,"BANK COLONY, GOLA ROAD,MAUZA- DANAPUR SHAHJADPUR, PATNA , Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -1425, 1426, 1437",01 Jul 2022
ASHOKA ENCLAVE,BRERAP35029-1/201/R-1508/2022,JAY SHREE SHYAM HOMES,"BIBIGANJ ROAD, NEAR DALVAR STREET, DANAPUR , Block- Danapur Mauja - सैदपुरा District - PatnaPlot No -43 AND 46,  OLD PLOT NO- 443",27 Dec 2022
ASHOKA PALACE,BRERAP00880-2/190/R-1279/2022,SUPERB BUILDERS PRIVATE LIMITED,"PLOT NO-729, MUSTAFAPUR, JAWAHAR COLONY, DANAPUR, PATNA , Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -729",17 Mar 2022
ASHWINI ENCLAVE II,BRERAP00453-1/282/R-259/2018,ASHWINI ENTERPRISES PVT LTD,"ASHWANI ENCLAVE 'A' II,NH-98,BESIDER AIIMS,BHUSAULA DANAPUR,PHULWARISHARIF,PATNA 801505
, Block- Danapur Mauja - दानापुर District - PatnaPlot No -1763 (P)",23 Nov 2018
ASOPUR AVENUE,BRERAP00128-1/43/R-21/2018,MUNDESHWARI BUILDERS & DEVELOPERS PVT LTD,"VIJAY SINGH YADAV PATH, KHAGUAL, DANAPUR, PATNA, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -264",18 May 2018
Astara Residences,BRERAP10956-1/111/R-1423/2022,Astara Real Estate,"Plot No. 523, 524, Bank Road, Gandhi Maidan,Patna , Block- Patna Sadar Mauja - अङरा District - PatnaPlot No -523, 524",01 Jul 2022
ASTHA GREEN CITY,BRERAP00352-1/230/R-157/2018,ASTHA HOMES PRIVATE LIMITED,"AIIMS PATNA, Block- Danapur Mauja - सैदपुरा District - PatnaPlot No -887/888/890/891/892",15 Sep 2021
ASTHA RESIDENCY,BRERAP00352-4/135/R-1450/2022,ASTHA HOMES PRIVATE LIMITED,"LAKHANIBIGHA,PATNA, Block- Danapur Mauja - लखनी बिगहा District - PatnaPlot No -1388/1396/1394/1938",18 Aug 2022
ASTHA RESIDENCY,BRERAP00281-1/199/R-218/2018,ASTHA HOMES,"BAIJU BIGHA,(IAS)COLONY, Block- Manpur Mauja - बिजु बिगहा District - GayaPlot No -13,34,35",25 Oct 2018
Asthanu Metro Tower,BRERAP75726-1/96/R-1210/2021,Asthanu Buildcon,"Khata No.- 101,102,103, Thana No.- 35, At Mauza- Babkarpur, Thana- Danapur, Block- Danapur Mauja - ववक्करपुर District - PatnaPlot No -265,266,267",22 Sep 2021
Asthanu Resham Enclave,BRERAP12716-001/73/R-1747/2024,ASTHANU SHARDE BUILDCON,,20 Aug 2024
ASTHANU SHARDA COMPLEX,BRERAP75726-002/77/R-1583/2023,Asthanu Buildcon,,05 Jul 2023
ASTHANU VIJAY SINGH YADAV COMPLEX,BRERAP75726_003/78/R-1582/2023,Asthanu Buildcon,,28 Jun 2023
AV SIGNATURE RESIDENCY,BRERAP13356-1/149/R-1378/2022,AVM SMART HOMES LLP,"Mauza- Sonhan Maheshpatti, Vasudevpur, Near- Darbhanga Central School, Block- Darbhanga Mauja - सोभन District - DarbhangaPlot No -723/709 Old, 501/502 New",13 Apr 2022
AVIGNA,BRERAP00263-3/1008/R-842/2019,SHREE LOK NATH BABA HOMES PVT LTD,"S/O SRI INDRA DEO SINGH THANA-RUPASPUR MAUZA-DHANAUT, MAHUA BAGH, DIST-PATNA, Block- Danapur Mauja - धनौत District - PatnaPlot No -PLOT NO-1533,1505,1445 P KHATA NO-241, 215",20 Nov 2019
AWADH MANSION,BRERAP00265-1/161/R-109/2018,Kamini Engicons Pvt Ltd.,"JALALPUR , PATNA, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -70",25 Jul 2018
AWADH RESIDENCY,BRERAP82840-2/87/r-1228/2021,AWADH DEVELOPERS,"GANDHI NAGAR, NEAR YAMUNA APARTMENT, BORING ROAD, PATNA , Block- Patna Sadar Mauja - राजापुर District - PatnaPlot No -856",21 Oct 2021
AYESHA RESIDENCY,BRERAP00902-3/627/R-705/2019,EMPIRE ENGICON PRIVATE LIMITED,"Nohsa Road, Phulwari, Patna., Block- Phulwari Sarif Mauja - नोहसा District - PatnaPlot No -837",09 Aug 2019
AYUSH PLOTTING,BRERAP00333-2/983/R-859/2019,ORINO ENGICON PRIVATE LIMITED,,06 Dec 2019
AZIM ENCLAVE,BRERAP00557-1/385/R-356/2019,A ONE NANDANI CONSTRUCTION,"SAGUNA MORE, Block- Danapur Mauja - सगुना District - PatnaPlot No -35/369",22 Jan 2019
AZIM TOWER,BRERAP00874-1/606/R-493/2019,NANDINI DEVELOPERS PRIVATE LIMITED,"SAGUNA MORE, DANAPUR, Block- Danapur Mauja - सगुना District - PatnaPlot No -17",06 Mar 2019
B L SINGHANIA APARTMENT,BRERAP00055-2/575/R-454/2019,ASHA REALTY DEVELOPERS PRIVATE LIMITED,"AKHARAGHAT ROAD, NAJIRPUR, PS TOWN THANA, Block- Musahari Mauja - नाजीरपुर District - MuzaffarpurPlot No -1008 NEW, 655 OLD",20 Feb 2019
B M APARTMENT,BRERAP45037-4/92/R-1195/2021,DAKSHA CONSTRUCTION PRIVATE LIMITED,,08 Sep 2021
B. K. COMPLEX,BRERAP00352-6/1264/R-1290/2022,ASTHA HOMES PRIVATE LIMITED,"MAUZA-SAIDPURA, SURVEY THANA-DANAPUR, THANA NO-51, P.S.-KHAGAUL, PLOT NO-234, KHATA NO-137, PATNA, Block- Danapur Mauja - सैदपुरा District - PatnaPlot No -234",11 Mar 2022
B. N. PLAZA,BRERAP00289-1/699/R-499/2019,SAI REAL AWAS PVT. LTD.,"CHAINPUR ROAD, BHAMASHAH DWAR, ANCHAL - MARWAN, Block- Marwan Mauja - चैनपुर District - MuzaffarpurPlot No -661,662",06 Mar 2019
BAALAJI NIWAS,BRERAP00174-002/151/R-1621/2023,BHADANI INFRA DEVELOPERS PVT.LTD.,,30 Nov 2023
BABA COMPLEX,BRERAP00427-5/1319/R-1124/2021,R.D.ECO DEVELOPERS PVT. LTD.,"LKHANJHARI,GHURDAUL ROAD NEAR N.H 31, Block- Purnia East Mauja - लखनझड़ी District - PurneaPlot No -771/1204,775/2046",04 Feb 2021
BABA DHAM GLOBAL INFRA,BRERAP12480-001/164/R-1623/2023,GLOBAL INFRA,,06 Dec 2023
BABA RAMCHARITTAR COMPLEX,BRERAP00129-3/638/R-579/2019,SWARNDURGA BUILDCON PVT.LTD,"AT MOHALLA-BRAHMPURA
THANA-BRAHMPURA, THANA NO-402
DISTRICT-MUZAFFARPUR, ANCHAL-MUSHAHRI
STATE-BIHAR
, Block- Musahari Mauja - ब्रह्मपूरा District - MuzaffarpurPlot No -967",11 Apr 2019
Badri Nath Tower,BRERAP00143-1/67/R-128/2018,ABHINAV AWAS PRIVATE LIMITED,"Gola road, near St. Karens School. , Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -971, 972, 969",09 Aug 2018
"BADRINATH TOWER,BLOCK-D",BRERAP00143-3/107R-1300/2022,ABHINAV AWAS PRIVATE LIMITED,"NEAR ST. KAREN'S SCHOOL, GOLA ROAD, DANAPUR, PATNA , Block- Danapur Mauja - दानापुर District - PatnaPlot No -966P,971,972,973,969",15 Mar 2022
BAGCHI COMPLEX,BRERAP01813-1/37/R-1200/2021,NEW BALAJI HOMES,,09 Sep 2021
BAHULEYA BADKAGAON,BRERAP60909-4/1142/R-1025/2020,CITYAVENUE INFRA PRIVATE LIMITED,,26 Aug 2020
BAIDYAMATI COMPLEX,BRERAP00251-4/882/R-1071/2019,AZALFA BUILDING CONSTRUCTION PVT LTD,"PLOT NO-556,567, KHATA NO128,129,THANA NO-17,TAUZI-5854,5855, Block- Danapur Mauja - शाहपुर District - PatnaPlot No -556,567",09 Dec 2020
Baidyanath Tower,BRERAP00751-2/35/R-1549/2023,ADARSH VIHAR BUILDTECH PRIVATE LIMITED,,12 Apr 2023
BAIKUNTH IMPRESSION TOWER,BRERAP00076-3/150/R-1287/2022,DIRECT SELL BUILDCON PRIVATE LIMITED,"VIJAY NAGAR, PATEL CHOWK,RUKANPURA,BAILEY ROAD, PATNA , Block- Danapur Mauja - रुकनपुरा District - PatnaPlot No -296 P",04 Mar 2022
BAIKUNTH NIWAS,BRERAP21050-3/144/R-1255/2021,KAVITA SHREE HOMES PRIVATE LIMITED,"AIIMS DIGHA NAHAR ROAD ,WEST OF PATLIPUTRA STATION,DANAPUR,PATNA, Block- Danapur Mauja - रुकनपुरा District - PatnaPlot No -22,36,37,38,39,40",31 Dec 2021
BAIKUNTH VAIBHAV RESIDENCY,BRERAP00318-2/205/R-383/2019,VAIBHAV BUILDERS & CONSTRUCTION,,31 Jan 2019
BAITUS-SALAM,BRERAP71739-1/950/R-1144/2021,SHANTI KUNJ SAHKARI GRIH NIRMAN SAMITI LTD,"KELABAGAN, OPPOSITE PETROLPUMP, SHANTI KUNJ COLONY, PHULWARI SHARIF., Block- Phulwari Sarif Mauja - फुलवारी District - PatnaPlot No -607  608",24 Mar 2021
BAL SUMITRA SADAN,BRERAP00445-2/1223/R-1087/2021,BUDHA DEVELOPERS,"BUDHA COLONY, Block- Patna Sadar Mauja - दुजरा District - PatnaPlot No -PLOT NO-1060, KHATA NO-143",06 Jan 2021
Balaji City,BRERAP00215-2/391/R-753/2019,BALAJI SAPHIRE HOMES PVT LTD,"Ramjaipal Nagar,Danapur,Patna , Block- Danapur Mauja - जलालपुर District - PatnaPlot No -563,564,565",11 Sep 2019
BALAJI EXOTICA,BRERAP93225-1/199/R-1496/2022,BALAJI GREEN HOMES,"MITHILA COLONY SOUTH , MAUZA- SIKANDERPUR,DANAPUR, PATNA , Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -643 P",06 Dec 2022
BALAJI HERITAGE,BRERAP00154-2/990/R-712/2019,Balaji Dream Homes,"ASHOPUR ROAD, RK PURAM,DANAPUR,PATNA , Block- Danapur Mauja - मैनपुरा District - PatnaPlot No -565 P",09 Aug 2019
BALAJI TILKUNWAR RESIDENCY,BRERAP00260-1/235/R-97/2018,Sai Shree Balajee Homes Pvt. Ltd.,"EKATA NAGAR,PHULWARISARIF
PATNA., Block- Phulwari Sarif Mauja - अब्‍बुपुर लोदीपुर District - PatnaPlot No -994, 995, 1022, 1023,",19 Jul 2018
BALAJI TOWER,BRERAP00174-1/98/R-183/2018,BHADANI INFRA DEVELOPERS PVT.LTD.,"BALAJI NAGAR CHHOTKI NAWADA GAYA, Block- Sadar Gaya Mauja - कंडी नवादा District - GayaPlot No -525,526,527",24 Sep 2018
BALDEV BHAWAN,BRERAP31259-1/60/R-1238/2021,BHUWANESHWARI ENGICONS PVT LTD,"PLOT NO-646P THANA NO-07 MAUZA -DHAKANPURA SHASTRI NAGAR PUNICHAK PATNA, Block- Patna Sadar Mauja - ढ़कनपुरा District - PatnaPlot No -646P",22 Nov 2021
BALESHWARAM,BRERAP71336-1/1050/R-825/2019,DEVSHREE INFRATECH PVT. LTD.,"SIKANDARPUR,GOLA ROAD, DANAPUR, PATNA, Block- Danapur Mauja - सिकन्दरपुर District - PatnaPlot No -152 P",13 Nov 2019
BALIRAM ENCLAVE,BRERAP84957-1/784/R-571/2019,GREENSQUARE REALTECH PVT.LTD,"RAMJICHAK DIGHA PATNA , Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -1301,1301/5774,1301/5733",08 Apr 2019
BANKEY BIHARI KUNJ,BRERAP00297-1/258/R-232/2018,CITY MAKERS PVT LTD,"BANKEY BIHARI KUNJ, GAYA LINE GUMTI , MITHAPUR, PATNA, Block- Patna Sadar Mauja - मीठापुर District - PatnaPlot No -153,156",31 Oct 2018
BANSH VILLA,BRERAP000466-1/551R-955/2020,Ayushi Developers,"KHERSA NO-1307,1308,1309P.
NEW KHESRA NO-4486,MUZA PAKRI,THANA-ARRAH, Block- Ara Mauja - पकड़ी District - BhojpurPlot No -1307,1308,1309P. NEW KHESRA NO-4486",06 May 2020
Banshidhar Tower,BRERAP93648-1/99/R-1724/2024,SONNET INFRA PRIVATE LIMITED,"Mohalla- Mozahidpur, At- Bounsi Road, Thana- Mozahidpur, Dist- Bhagalpur, Anchl- Jagdishpur, In ward No.- 46, Holding No.- 21, 22, Khata no.-358, Khesra no.- 48, Bihar, Block- Jagdishpur Sadar Mauja - जगदीशपुर District - BhagalpurPlot No -48",19 Nov 2024
BASERA,BRERAP00617-3/19/R-1541/2023,SEVENIST INFRASTRUCTURE PRIVATE LIMITED,"TAHAL TOLA, MAUZA KHALILPURA, NORTH OF RAILWAY LINE , Block- Danapur Mauja - खलीलपुरा District - PatnaPlot No -375",15 Mar 2023
BASERA  DREAM DEVELOPERS,BRERAP00461-1/443/R-387/2019,BASERA DREAM DEVELOPERS,"MAUZA- KOLHAURA, Block- Bodh Gaya Mauja - कोल्‍हौड़ा District - GayaPlot No -988, 989",31 Jan 2019
BASU PLAZA,BRERAP90730-1/218/R-1512/2022,KESHAV HOSPITAL PRIVATE LIMITED,"KESHAV HOSPITAL PVT LTD, SAGUNA MORE BAILY ROAD PATNA, Block- Danapur Mauja - सगुना District - PatnaPlot No -205",10 Jan 2023
Basudev Maitreyee Palace,BRERAP000738-1/1167/R-937/2020,Maitreyee Mahanirman LLP,"Mauza Danapur Shahjadpur, Thana Danapur, Thana No. 21, Tauzi No. 5400, Khata No. 281, Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -939",08 May 2020
Bawanagunj Jalalpur City Block A and B,BRERAP95817-1/1190/R-1002/2020,Yamuna Awas Developers I Pvt Ltd,"Mauza- Digha, Thana No.-01, Tauzi No-5339, Khata No-1635,1623,1845, PS- Digha, Block- Patna Sadar Mauja - दीघा District - PatnaPlot No -1119,1126,1127 P",07 Jul 2020
BELA GARDEN APARTMENT,BRERAP14128-1/181/R-1347/2022,RAJGHARANA ASSOCIATES PRIVATE LIMITED,"OPPOSITE PTC COLONY, GATE NO-3, GATE NO-3,P.O-LALBAGH,DISTRICT - DARBHANGA , Block- Darbhanga Mauja - लालबाग District - DarbhangaPlot No -72,73,75,76,77,78,79, 81",05 Apr 2022
Bettiah,BRERAP00926-2/685/R-906/2020,ADHARSHILA HOUSING BUILDCON PRIVATE LIMITED,"Sri nagar, near sant michael school,bettiah, Block- Chanpatia Mauja - बेतिया डीह District - West ChamparanPlot No -3167,3359,5691,3372,3358",17 Feb 2020
BEUR MANSION,BRERAP00060-3/811/R-704/2019,R.R. BUILDERS AND DEVELOPERS,"THANA NO.-33, S.PLOT NO.- PART PLOT 1997, KHATA NO.- 191, MAUZA- BEUR, THANA - PHULWARISHARIF, Block- Phulwari Sarif Mauja - वेउर District - PatnaPlot No -PART PLOT NO.-1997",07 Aug 2019
Bhadra Raj Enclave,BRERAP00043-1/579/R-444/2019,SK BUILDERS & COLONISOR PRIVATE LIMITED,"Gola Road (T) Point Sahjadpur Danapur, khata no.-155, Tauzi no.-5285, Thana - 21, Mauza-Danapur , Block- Danapur Mauja - दियारा दानापुर शहजादपुर District - PatnaPlot No -1162",20 Jan 2023
BHAGAYA GIRI APARTMENTS,BRERAP00640-1/491/R-337/2019,NUTAN REALTORS PRIVATE LIMITED,"MULCHAND PATH, BAHADUR PUR GUMTI, KANKARBAGH PATNA-20, Block- Patna Sadar Mauja - सादिकपुर योगी District - PatnaPlot No -395 TO 407,409",14 Sep 2021
BHAGWAN KAILASH AWAS,BRERAP00530-3/718/R-1016/2020,KOSUT BUILDERS AND DEVELPOERS PVT.LTD,"PLOT NO-295,294,KHATA NO-33,53,JAKKANPUR PATNA, Block- Patna Sadar Mauja - जक्‍कनपुर District - PatnaPlot No -295,294",18 Aug 2020
BHAGWAN NIWAS,BRERAP00266-2/1027/R-838/2019,JAWED ALI KHAN,"NORTH S.K. PURI PATNA, Block- Patna Sadar Mauja - मुहम्मदपुर (वराटपुर) District - PatnaPlot No -11/12",19 Nov 2019
BHAGWAN SRI RAM COMPLEX,BRERAP15818-1/1129/R-1024/2020,SOUMYVINAYAK CONSTRUCTION PVT.LTD,"BHAGWAN SRI RAM COMPLEX, NTPC COLONY, EAST RAMKRISHNA NAGAR,PATNA-27, Block- Sampatchak Mauja - शेखपुरा District - PatnaPlot No -khata no-03 Plot No-314",26 Aug 2020
BHAGWAT PENTAGON MALL,BRERAP00085-1/68/R-139/2018,SHIVAM CONSTRUCTIONS,"R.P.S MORE, NEAR RENAULT SHOWROOM, Block- Danapur Mauja - सगुना District - PatnaPlot No -686970",15 Mar 2023
BHAGWATI KK PALMS,BRERAP00614-2/499/R-581/2019,BHAGWATI CONSTRUCTION,"TODARMAL LANE, SUJAGANJ, Block- Jagdishpur Sadar Mauja - वार्ड न.14 District - BhagalpurPlot No -104, 97, 2, 93",10 Apr 2019
Bhardwaj Height,BRERAP45146-1/1073/R-1042/2020,MAISONS STRUCTURE PVT LTD,"Maisons Structure Pvt. Ltd Bodh Gaya, Ias Colony. Dumohan P.S- Bodh Gaya, Mauja- Bodh Gaya Dist- Gaya Bihar, Block- Bodh Gaya Mauja - बोध गया District - GayaPlot No -Khata No- 739 Plot No-8",17 Sep 2020
BHAVYA CITY,118/2023/54,BEGUSARAI INFRASTRUCTURE PRIVATE LIMITED,,
BHAVYA VATIKA,BRERAP00103-2/82/R-1198/2021,MANDVI BUILDCON PVT.LTD,"SAKET VIHAR ,MITRAMANDAL COLONY,ANISABAD,PATNA, Block- Phulwari Sarif Mauja - फुलवारी District - PatnaPlot No -737,811,812,813",08 Sep 2021
Bhawani Complex,BRERAP00101-2/240/R-153/2018,BHAWANI HOMES PROJECTS PVT. LTD.,"Hajipur, Block- Hajipur Mauja - Ward-16 District - VaishaliPlot No -939, 942",06 Sep 2018
BHAWANI COMPLEX,BRERAP00101-1/62/R-18/2018,BHAWANI HOMES PROJECTS PVT. LTD.,"KHAGAUL ROAD OPP-RADIANT SCHOOL, DANAPUR PATNA, THANA- KHAGAUL DANAPUR MAUZA- MUSTAFAPUR, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -198, 199(P), 200(P)",11 May 2018
BHAWANI HEIGHTS,BRERAP92242-1/09/R-1534/2023,BHAWANI CONSTRUCTION AND BHAWANI INFRACON JV,"MATHYAPUR,P.S+P.O-SHAHPUR,DANAPUR,PATNA, Block- Danapur Mauja - जमसौत District - PatnaPlot No -2358,2364,2351,2355,2367,2368,2360,2361,2362,2363,2359,2370",24 Feb 2023
Bhawani Villa,BRERAP00101-4/1345/R-1134/2021,BHAWANI HOMES PROJECTS PVT. LTD.,"Thana No- 36, Khata No- 237,244,240, 251, Tauzi No. 5276, Mauza- Mustaffapur, Thana- Danapur, Block- Danapur Mauja - मुस्ताफापुर District - PatnaPlot No -213, 214, 215, 216",12 Feb 2021
Bhawnath Surya Prabha Enclave,BRERAP00132-3/591/R-212/2018,Kashyap Green Homes Pvt. Ltd.,"Malahi Pakhri 90' Main Road Near Ishan International School KankarBagh PAtna -20, Block- Phulwari Sarif Mauja - पकडी District - PatnaPlot No -272",09 Oct 2018
BHOLA RAI APARTMENT,BRERAP00336-1/303/R-367/2019,KIRAN BUILDTECH PVT LTD,"Kusumpuram Colony, Block- Danapur Mauja - जलालपुर District - PatnaPlot No -PART OF 52",25 Jan 2019
BHUVAN KUNJ,BRERAP00785-1/564/R-716/2019,SAMRIDHI HERITAGE HOMES PRIVATE LIMITED,"IAS Colony, Bailey Road, Patna, Block- Danapur Mauja - धनौत District - PatnaPlot No -262,264,724",13 Aug 2019
