Registration Certificate Number,Project Name,Builder,Project Location,Project District,INTERNAL ROADS AND PAVEMENTS,WATER SUPPLY SYSTEM,STORM WATER DRAINAGE,ELECTRICITY SUPPLY SYSTEM,SEWAGE TREATMENT & GARBAGE DISPOSAL,STREET LIGHTING,SECURITY AND FIRE FIGHTING,PLAYGROUNDS AND PARKS,CLUB HOUSE/COMMUNITY CENTRE,SHOPPING AREA,RENEWABLE ENERGY SYSTEM,SCHOOL,HOSPITAL/DISPENSARY,ANY OTHER,No. of Flats/Apartments constructed,No. of Flats/ Apartments booked,Land area of the project,Projected date of completion,Percentage completion,FLOORING DETAILS OF VARIOUS PARTS OF HOUSE,KITCHEN DETAILS,DOORS AND WINDOS FRAMES,ELECTRIC FITTINGS,LIFT DETAILS,ELECTRICAL FITTINGS,INTERNAL FINISHING,Document URL,OC Document Path
HRERA-PKL-FBD-170-2019,HABITAT RESIDENCES,CONSCIENT INFRASTRUCTURE PRIVATE LIMITED,"VILLAGE-FARIDPUR, SECTOR-78,
FARIDABAD",FARIDABAD,126.58,167.67,No,25,116.46,19.49,50,3.49,27,226,14.5,0,0,1017,Not Found,Not Found,5.08125 (Acre),Not available,Not available,TILES - 600 X 600 VITRIFIED AND 300 X 300 CERAMIC,STONE COUNTER-TOP WITH 2 FEET TILES ABOVE THE COUNTER. THE FLOORS ARE MADE UP OF TILES,MS/ALUMINIUM ARE FINISHED WITH ENAMEL PAINT,NA,"18 LIFTS, IN WHICH 9 ARE PASSENGER AND REMAINING 9 ARE STRETCHER LIFT.",ISI MARKED FITTING,WHITE WASH / COLOR WASH,Not Found,Not Available
HRERA-PKL-FBD-148-2019,AMOLIK SANKALP,AMOLIK RESIDENCY LLP,"SECTOR 85 , NEAR SRS CHOWK",FARIDABAD,284.74,170.84,No,227.29,170.84,0,0,113.89,0,0,0,0,0,0,Not Found,Not Found,5.43125 (Acre),Not available,Not available,VITRIFIED TILES/ IPS IN ALL PART OF THE HOUSES.,"MARBLE STONE/KOTA STONE, TILES UPTO 2 FEET FROM THE COUNTER, STAINLESS STEEL SINK (SINGE BOWL)",AS ABOVE.,"ISI MARKED WIRES, SWITCHES AND MCBS",AS PER PROVISION,ISI MARKED,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/NzQ2,oc\HRERA-PKL-FBD-148-2019-OC_uploaded.pdf
HRERA-PKL-FBD-130-2019,OMAXE CITY,HARTAL BUILDERS AND DEVELOPERS PRIVATE LIMITED,"KHERI KALAN, TAJUPUR ROAD, SE
CTOR-97, FARIDABAD",FARIDABAD,273.10,171.34,No,50.26,174.80,0,0,6.35,0,0,0,0,0,0.155,Not Found,Not Found,13.10 (Acre),Not available,Not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MzM4,oc\HRERA-PKL-FBD-130-2019-OC_uploaded.pdf
HRERA-PKL-FBD-116-2019,RPS PALM DRIVE (PHASE-I),RPS INFRASTRUCTURE LTD,"VILLAGE BASELWA SECTOR-88, GR
EATER FARIDABAD",FARIDABAD,54.91,46.34,No,282.36,63.02,12.15,0,13.75,0,0,0,0,0,0.060,Not Found,Not Found,15243 (Sqr/mtrs),Not available,Not available,VITRIFIED TILES OR CERAMIC TILES,GRANITE/ MARBLE COUNTER WITH SS SINK,HARD WOOD FRAMES WITH FLUSH DOOR / UPVC (VARIOUS SIZES & QUANTITY AS PER TYPE OF UNIT),ISI MARKED FITTINGS,NA,ISI MARKED FITTINGS,WALL AND CEILING - PLEASANT SHADES OF OBD / IN PLEASANT SHADES IN KITCHEN AND TOILETS FLOORING - VITRIFIED TILES / ANTI SKID CERAMIC TILES,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Nzk5,oc\HRERA-PKL-FBD-116-2019-OC_uploaded.pdf
HRERA-PKL-FBD-112-2019,SHREE HOMES,JOTINDRA STEEL & TUBES LIMITED,"VILLAGE MEWLA MAHARAJPUR, SEC
TOR 45, FARIDABAD",FARIDABAD,625.00,250.00,No,500.00,250.00,250.00,0,375.00,0,0,0,0,0,0,Not Found,Not Found,6.081 (Acre),Not available,Not available,"LIVING AND DINING AREA FLOORING IS COMPLETED WITH VITRIFIED TILES,",KITCHEN COMPLETED WITH TILES FLOORING WALLS COME WITH TILES FINISH; IT WILL BE AVAILABLE TWO FT ABOVE WORKING AREA REMAINING WALL IS PAINTED WITH OIL BOUND DISTEMPER. MODERN FIXTURES AVAILABLE AS PER AGREEMENT.,UPVC/ STANDARD.,STANDARD ISI MARKED PRODUCTS USED.,PROVIDED,STANDARD ISI MARKED PRODUCTS USED.,AS PER STANDARDS.,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTMz,oc\HRERA-PKL-FBD-112-2019-OC_uploaded.pdf
"196 OF 2017, DATED 15-09-2017","""MINDSPACES"" (FOR BLOCK C, D &RESTAURENT;) AREA 39948.936 SQ. MTRS. IT PARK COLONY",VATIKA LTD.,"SECTOR-27-B, VILLAGE-SARAI KH
AWAJA, TEHSIL BADKHAL, FARIDABAD.",FARIDABAD,84.40,120.40,Yes,40.00,46.90,9.30,5.70,1.50,0,0,10.00,0,0,0.988,783,515,8.793 (Acre),31-07-2019,0,ANNEXURE - 44,NOT APPLICABLE,REFER ANNEXURE - 44,REFER ANNEXURE - 20 (ATTACHED SERVICE COST ESTIMATE),BLOCK C & D -PASSENGER ELEVATORS NO. OF PASSENGER ELEVATORS - 6 IN EACH BLOCK CAPACITY - 1020 KG CAR SIZE - 1600MM X 1500MM SHAFT SIZE - 2700 X 2400 MM BLOCK C & D -SERVICE ELEVATOR NO. OF SERVICE ELEVATORS - 1 IN EACH BLOCK CAPACITY - 952 KG CAR SIZE - 1100 X 2100 MM SHAFT SIZE - 1835 X 3000 MM,REFER ANNEXURE - 20 (ATTACHED SERVICE COST ESTIMATE),REFER ANNEXURE - 44,Not Found,Not Available
310 OF 2017 DATED 17-10-2017,BLOSSOM GREENS AREA 18493.988 SQ. MTRS. GROUP HOUSING COLONY,GPM DEVELOPERS PVT. LTD.,"SECTOR-63, VILLAGE UNCHAGOAN,
TEHSIL BALLABGARH",FARIDABAD,45,74,No,148,45,0,0,119,0,0,0,0,0,8921.59,233,114,1.68 (Acre),30-09-2023,0,INTERNAL FLOORING OF UNITS : TO BE DONE BY CUSTOMER AS PER PREFERENCE & REQUIREMENT. LOBBY/CORRIDORS/STAIRS: KOTA STONE/VITRIFIED TILES IN PLEASANT SHADES/COMBINATIONS,NOT APPLICABLE,FRAMELESS/UPVC/ALUMINUM FRAME,ISI MARKED LIGHTING FIXTURES IN COMMON AREA,PASSENGER LIFTS OF SUITABLE/APPROVED CAPACITY,ISI MARKED LIGHTING FIXTURES IN COMMON AREA,PLASTER WITH PLEASANT SHADES OF DISTEMPER ON WALLS AND KOTA STONE/VITRIFIED TILES IN PLEASANT SHADES/COMBINATIONS IN FLOORING,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Nzk4,oc\98 OF 2017-OC_uploaded.pdf
"196 OF 2017, DATED 15-09-2017","""MINDSPACES"" (FOR BLOCK C, D &RESTAURENT;) AREA 39948.936 SQ. MTRS. IT PARK COLONY",VATIKA LTD.,"SECTOR-27-B, VILLAGE-SARAI KH
AWAJA, TEHSIL BADKHAL, FARIDABAD.",FARIDABAD,84.40,120.40,Yes,40.00,46.90,9.30,5.70,1.50,0,0,10.00,0,0,0.988,783,515,8.793 (Acre),31-07-2019,0,ANNEXURE - 44,NOT APPLICABLE,REFER ANNEXURE - 44,REFER ANNEXURE - 20 (ATTACHED SERVICE COST ESTIMATE),BLOCK C & D -PASSENGER ELEVATORS NO. OF PASSENGER ELEVATORS - 6 IN EACH BLOCK CAPACITY - 1020 KG CAR SIZE - 1600MM X 1500MM SHAFT SIZE - 2700 X 2400 MM BLOCK C & D -SERVICE ELEVATOR NO. OF SERVICE ELEVATORS - 1 IN EACH BLOCK CAPACITY - 952 KG CAR SIZE - 1100 X 2100 MM SHAFT SIZE - 1835 X 3000 MM,REFER ANNEXURE - 20 (ATTACHED SERVICE COST ESTIMATE),REFER ANNEXURE - 44,Not Found,Not Available
193 OF 2017 DATED 14-09-2017,AFFORDABLE GROUP HOUSING COLONY AREA OF 39100 SQ.MTRS,AMOLIK HOUSING PVT.LTD.,"VILLAGE BASEWALA,TEHSIL & DIS
TRICT FARIDABAD,HARYANA",FARIDABAD,127.58,332.16,Yes,0,170.29,19.89,60.77,0,0,0,0,0,0,0,668,668,5.01875 (Acre),15-09-2020,91,TILES,TILES/PALTFORM MARBLES,POWER COATED AND ALUMINIUM FRAME,USE OF ISI MARK,YES,YES,OIL BOND DISTUMBER,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTA1Mg==,oc\91 OF 2017-OC_uploaded.pdf
345 OF 2017 DATED 27-10-2017,"GROUP HOUSING ""AHINSHA NATUREZ PARK AREA 1.90 ACRES",AHINSHA BUILDERS PVT. LTD.,"SECTOR-41, VILLAGE SARIA KHWA
JA",FARIDABAD,10,10,Yes,280,60,0,10,50,250,0,20,0,0,0,68,7,1.90 (Acre),31-10-2020,0,CEMENT CONCRETE FLOORING,CEMENT CONCRETE FINISH,STEEL MAIN DOOR,ELECTRIC COPPER WIRING IN CONCEALED CONDUIT WITH MODULAR SWITCHES,TWO IN EACH TOWER,ELECTRIC COPPER WIRING IN CONCEALED CONDUIT WITH MODULAR SWITCHES,CEMENT CONCRETE FINISH,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTE0,oc\90 OF 2017-OC_uploaded.pdf
188 OF 2017 DATED 14-09-2017,AFFORDABLE GROUP HOUSING COLONY AURIC CITY HOMES AREA OF 5 ACRES,S3 INFRAREALITY PVT. LTD.,"SECTOR-82,TEHSIL TIGAON, FARI
DABAD,HARYANA",FARIDABAD,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,259,7.387 (Acre),19-07-2022,0,TILES - 600 X 600 VITRIFIED AND 300 X 300 CERAMIC,STONE COUNTER-TOP WITH 2 FEET TILES ABOVE THE COUNTER. THE FLOORS ARE MADE UP OF TILES,MS/ALUMINIUM ARE FINISHED WITH ENAMEL PAINT,NA,"20 LIFTS, IN WHICH 10 ARE PASSENGER AND REMAINING 10 ARE STRETCHER LIFT.",ISI MARKED FITTING,WHITE WASH / COLOR WASH,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTg3,oc\88 OF 2017-OC_uploaded.pdf
286 OF 2017 DATED 10-10-2017,PLOTTED COLONY AREA 2.675 ACRES RESIDENTIAL,M/S ZUKU EXPORTS TV PVT. LTD.,"SECTOR 27, VILLAGE KANAWALA,
AMBALA, HARYANA",AMBALA,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0.5070,Not Found,Not Found,12.675 (Acre),Not available,Not available,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Not Found,Not Available
85 OF 2017 DATED 23.08.2017,"GROUP HOUSING COLONY, AREA 18081.008 SQ. MTRS.",MG HOUSING PVT. LTD,"SECTOR- 70, VILLAGE MUJERI, F
ARIDABAD",FARIDABAD,195.88,72.55,Yes,181.37,72.55,43.53,0,87.06,0,0,0,0,0,0,Not Found,Not Found,18081.008 (Sqr/mtrs),Not available,Not available,IPS,"SINK, KITCHEN SLAB",MS,PROVISIONS FOR LIGHT POINTS AND POWER POINTS AS PER NORMS.,AS PER SANCTIONED PLANS.,N/A/,N/A/,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/ODA=,oc\85 OF 2017 DATED 23.08.2017-OC_uploaded.pdf
129 OF 2017 DATED 28.8.2017,28384.54 SQ. MTRS.,ROBUST BUILDWELL PVT. LTD.,"VILLAGE BHATOLA, SECTOR-79, F
ARIDABAD",FARIDABAD,423,4.7,No,341,90.18,53,118.06,51.21,0,0,0,0,0,5214.62,125,124,28384.54 (Sqr/mtrs),30-06-2020,81,NO FLOORING,N/A,FLUSH DOOR,"IN SHOPS UPTO DB ONLY, IN COMMON AREA COMPLETE PROVISION",N/A,N/A,N/A,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTUw,oc\84 OF 2017-OC_uploaded.pdf
129 OF 2017 DATED 28.8.2017,28384.54 SQ. MTRS.,ROBUST BUILDWELL PVT. LTD.,"VILLAGE BHATOLA, SECTOR-79, F
ARIDABAD",FARIDABAD,423,4.7,No,341,90.18,53,118.06,51.21,0,0,0,0,0,5214.62,125,124,28384.54 (Sqr/mtrs),30-06-2020,81,NO FLOORING,N/A,FLUSH DOOR,"IN SHOPS UPTO DB ONLY, IN COMMON AREA COMPLETE PROVISION",N/A,N/A,N/A,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTUw,oc\83 OF 2017-OC_uploaded.pdf
85 OF 2017 DATED 23.08.2017,"GROUP HOUSING COLONY, AREA 18081.008 SQ. MTRS.",MG HOUSING PVT. LTD,"SECTOR- 70, VILLAGE MUJERI, F
ARIDABAD",FARIDABAD,195.88,72.55,Yes,181.37,72.55,43.53,0,87.06,0,0,0,0,0,0,Not Found,Not Found,18081.008 (Sqr/mtrs),Not available,Not available,IPS,"SINK, KITCHEN SLAB",MS,PROVISIONS FOR LIGHT POINTS AND POWER POINTS AS PER NORMS.,AS PER SANCTIONED PLANS.,N/A/,N/A/,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/ODA=,oc\81 of 2017-OC_uploaded.pdf
78 OF 2017 DATED 29-08-2017,AFFORTABLE GROUP HOUSING COLONY LAND MEASURING 7.394 ACRES,CONSCIENT INFRASTRUCTURE PVT. LTD.,"VILLAGE-FARIDPUR, SECTOR-78,F
ARIDABAD",FARIDABAD,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,259,7.387 (Acre),19-07-2022,0,TILES - 600 X 600 VITRIFIED AND 300 X 300 CERAMIC,STONE COUNTER-TOP WITH 2 FEET TILES ABOVE THE COUNTER. THE FLOORS ARE MADE UP OF TILES,MS/ALUMINIUM ARE FINISHED WITH ENAMEL PAINT,NA,"20 LIFTS, IN WHICH 10 ARE PASSENGER AND REMAINING 10 ARE STRETCHER LIFT.",ISI MARKED FITTING,WHITE WASH / COLOR WASH,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTg3,oc\78 OF 2017 DATED 29-08-2017-OC_uploaded.pdf
286 OF 2017 DATED 10-10-2017,PLOTTED COLONY AREA 2.675 ACRES RESIDENTIAL,M/S ZUKU EXPORTS TV PVT. LTD.,"SECTOR 27, VILLAGE KANAWALA,
AMBALA, HARYANA",AMBALA,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0.5070,Not Found,Not Found,12.675 (Acre),Not available,Not available,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,Not Found,Not Available
305 OF 2017 DATED 16-10-2017,1.24 ACRES GROUP HOUSING,MEENAL HOUSING PVT. LTD.,SURAJKUND,FARIDABAD,30,40,Yes,70,30,10,40,30,50,0,30,0,0,0,7800,3226,1.24 (Acre),31-12-2020,80,ITALIAN /MARBLE /TILES,"MODULAR KITCHEN WITH CHIMNEY, HOB & GRANITE COUNTER",UPVC,L & T,SHINDLER OR EQUIVALENT,L & T,PAINT,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mzk=,oc\73 OF 2017-OC_uploaded.pdf
124 OF 2017 DATED 28.8.2017,11302.54 SQ. MTRS.,ROBUST BUILDWELL PVT. LTD.,"VILLAGE BHATOLA, SECTOR-79, F
ARIDABAD",FARIDABAD,35,35,No,83,30,28,44,35,0,0,0,0,0,1740.617,381,364,11302.54 (Sqr/mtrs),30-07-2021,85,"VITRIFIED TILE, ANTISKID CERAMIC, GLAZED CERAMIN TILE, GRANITE/ MARBLE FLOORING IN STAIR CASE AND LIFT LOBBY","CERAMIC TILE UPTO 2 FEET HEIGHT ABOVE COUNTER AND PAINTED WITH OBD/PLASTIC EMULSION ABOVE, PAINTED/FALSE CEILING, PREPOLISHED GRANITE COUNTERS WITH STAINLESS STEEL SINK",ALUMINIUM/UPVC WINDOW,COPPER CONCEALED WIRING AND PLUG POINT IN ALL ROOMS,NA,,PLASTER,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTUx,oc\54 OF 2019-OC_uploaded.pdf
141 OF 2017 DATED 28.08.2017,PARSVNATH CITY CENTER SONEPAT,PARSVNATH DEVELOPERS LTD.,"NEW PWD GUEST HOUSE, RAILWAY
ROAD, SONEPAT, HARYANA",SONIPAT,70,40,No,450,62,0,0,13,0,0,0,0,0,0,703,166,4.03 (Acre),31-07-2020,0,"COMMON AREA – VDF/KOTA, POLISHED GRANITE/VITRIFIED TILES OR EQUIVALENT, MARBLE/ CERAMIC TILE SHOPS - MARBLE/ CERAMIC TILE. TOILETS - COMBINATION OF STONE/GRANITE/VITRIFIED/CERAMIC TILES",NA,COMMON AREA – WOODEN/METAL/FIRE DOOR SHOPS - FRAMELESS GLASS DOORS TOILETS – WOODEN DOORS/COMPACT LAMINATE,ALL ISI MARK FITTINGS WILL USE,6 LIFTS & 10 ESCALATORS,ALL ISI MARK FITTINGS WILL USE,NA,Not Found,Not Available
191 OF 2017 DATED 14.09.2017,"AFFORDABLE PLOTTED COLONY, AREA 14.388",M/S CHD DEVELOPERS LTD,"VILLAGE UCHANA, SECTOR 45, KA
RNAL, HARYANA",KARNAL,298.83,257.00,No,58.28,126.07,55.20,0,0,0,0,0,0,0,0,Not Found,Not Found,14.388 (Acre),Not available,Not available,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,Not Found,Not Available
365 OF 2017 DATED 22-11-2017,ASHA BAHADURGARH,GNEX INFRABUILD PRIVATE LIMITED,"SECTOR-36,VILLAGE-NAUNA MAJRA
,BAHADURGARH,DISTRICT JHAJJAR,HARYANA",JHAJJAR,199.22,214.96,Yes,117.52,99.65,31.55,0,4.42,0,0,0,0,0,0.25625,158,38,8.225 (Acre),08-11-2022,30,VITRIFIED TILES/ ANTI-SKID CERAMIC TILES/ STONE,"GRANITE COUNTER, SINGLE BOWL, S.S. SINK WITH DRAIN BOARD","INTERNAL DOOR AND MAIN DOOR IN HARD WOOD FRAME WITH FLUSH DOOR/ SKIN DOOR, EXTERNAL DOOR/ WINDOW IN ALUMINIUM OR UPVC",ISI MARKED,NIL,ISI MARKED,OIL BOUND DISTEMPER,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mw==,oc\365 OF 2017 DATED 22-11-2017-OC_uploaded.pdf
363 OF 2017 DATED 20-11-2017,GROUP HOUSING AREA 25523.088 SQ. MTRS.,OMAXE LTD.,"SECTOR-86, VILLAGE BUDHENA AN
D BAELWA",FARIDABAD,0,0,No,0,0,0,0,0,0,0,0,0,0,0,104,104,30.813 (Acre),31-12-2019,100,NA,NA,NA,NA,NA,NA,NA,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/OTE=,oc\363 OF 2017 DATED 20-11-2017-OC_uploaded.pdf
203 OF 2017 DATED 15.9.2017,RPS INFINIA TOWER-4 (PHASE-II),RPS INFRASTRUCTURE LTD.,"VILLAGE SARAI KHAWAJA, SECTOR
-27 A, FARIDABAD.",FARIDABAD,45,89,No,297,52,0,0,104,0,0,0,0,0,8921.59,111,42,1.47 (Acre),30-09-2022,0,INTERNAL FLOORING OF UNITS : TO BE DONE BY CUSTOMER AS PER PREFERENCE & REQUIREMENT. LOBBY/CORRIDORS/STAIRS: KOTA STONE/VITRIFIED TILES IN PLEASANT SHADES/COMBINATIONS,NA,FRAMELESS/UPVC/ALUMINUM FRAME,ISI MARKED LIGHTING FIXTURES IN COMMON AREA,PASSENGER LIFTS OF SUITABLE/APPROVED CAPACITY,ISI MARKED LIGHTING FIXTURES IN COMMON AREA,PLASTER WITH PLEASANT SHADES OF DISTEMPER ON WALLS AND KOTA STONE/VITRIFIED TILES IN PLEASANT SHADES/COMBINATIONS IN FLOORING,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/OTE4,oc\336 OF 2017-OC_uploaded.pdf
114 OFF 2017 DATED 28.8.2017,19330.50 SQ. MTRS.,ROBUST BUILDWELL PVT. LTD.,"VILLAGE BHATOLA, SECTOR-79, F
ARIDABAD-121004.",FARIDABAD,262.66,14.59,No,382.95,17.02,85.1,17.02,17.02,0,0,0,0,0,2473.53,71,54,19330.5 (Sqr/mtrs),31-12-2021,19,NO FLOORING,N/A,FLUSH DOOR,"IN SHOPS UPTO DB ONLY, IN COMMON AREA COMPLETE PROVISION",N/A,N/A,N/A,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTU1,oc\330 OF 2017-OC_uploaded.pdf
373 OF 2017 DATED 28.11.2017,"""FOR AN AREA 30306.29 SQ. MTRS.""",GOLDSOUK INFRASTRUCTURE PVT. LTD.,"VILLAGE BAROTA, KHANPUR AND K
AWARSIKA, TEHSIL NUH, MEWAT.",NUH,41.78,77.99,No,51.34,100.62,8.41,0,2.55,0,0,0,0,0,0,0,137,13.475 (Acre),10-09-2021,8,NA,NA,NA,NA,NA,NA,NA,Not Found,Not Available
297 OF 2017 DATED 16-10-2017,DISCOVERY PARK,BPTP LTD.,"SECTOR-80, FARIDABAD",FARIDABAD,1209.01,1257.7,No,1356.77,100,150,566.28,185.46,474.74,0,35,0,0,6300,883,768,10.82 (Acre),12-10-2020,51,VITRIFIED TILES IN LIVING ROOMS & BEDROOM. LAMINATED WOODEN FLOORING/VITRIFIED TILES IN MASTER BEDROOM. ANTI-SKID CERAMIC TILES IN KITCHEN. ANTI-SKID CERAMIC TILES IN TOILETS AND BALCONY. SELECT GRANITE/MARBLE IN STAIRCASE. VITRIFIED TILES IN LIFT LOBBY (TYPICAL FLOORS),"DADO: 2.0 INCH ABOVE KITCHEN COUNTER, REST OBD. PLATFORM: GRANITE COUNTER WITH SINGLY BOWL STAINLESS STEEL SINK WITH DRAIN BOARD.",WINDOW: UPVC DOORS: LAMINATED DOOR WITH HARDWOOD FRAME.,"ELECTRICAL COPPER WIRING FOR ALL LIGHTS AND POWER POINTS, MODULAR SWITCHES.",NOT APPLICABLE,"ELECTRICAL COPPER WIRING FOR ALL LIGHTS AND POWER POINTS, MODULAR SWITCHES.",-,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTAw,oc\297 OF 2017 DATED 16-10-2017-OC_uploaded.pdf
292 OF 2017 DATED 12-10-2017,ASHA BAHADURGARH-PHASE -III,GNEX REALTECH PRIVATE LIMITED,"SECTOR-36,VILLAGE- NUNA MAJRA
,BAHADURGARH,DISTRICT JHAJJAR,HARYANA",JHAJJAR,299.36,282.3,Yes,139,152.6,55.86,0,12.48,0,0,0,0,0,0,319,139,14.5625 (Acre),06-10-2022,50,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mg==,oc\292 OF 2017 DATED 12-10-2017-OC_uploaded.pdf
290 OF 2017 DATED 12-10-2017,ASHA BAHADURGARH-PHASE 1,GNEX REALTECH PRIVATE LIMITED,"SECTOR-36, VILLAGE NUN MAJRA,
BAHADURGARH,DISTRICT JHAJJAR HARYANA",JHAJJAR,213.90,244.67,Yes,130.21,140.34,44.50,0,8.54,0,0,0,0,0,1579.89,214,90,11.60 (Acre),30-11-2022,30,VITRIFIED TILES/ANTI-SKID CERAMIC TILES/STONE,GRANITE COUNTER. SINGLE BOWL S.S. SINK WITH DRAIN BOARD,INTERNAL DOOR & MAIN DOOR IN HARD WOOD FRAME WITH FLUSH DOOR/SKIN DOOR. EXTERNAL DOOR/WINDOW IN ALUMINUM OR UPVC,ISI MARKED,NIL,ISI MARKED,OIL BOUND DISTEMPER,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MQ==,oc\290 OF 2017 DATED 12-10-2017-OC_uploaded.pdf
265 OF 2017 DATED 09-10-2017,SMART HOMES KARNAL AREA 5.6534 ACRES,AEGIS VALUE HOMES LTD.,"SECTOR 32, KARNAL, HARYANA",KARNAL,224,240,No,460,120,40,160,120,0,172,0,0,0,0,877,623,5.6534 (Acre),23-10-2021,0,TILES,CERAMIC TILES / GRANITE STONE,DOORS - HARD WOOD / WINDOW - ALUMINIUM / UPPUC,AS PER ISI MARKED,AS PER ISI MARKED,AS PER ISI MARKED,OIL BOUND DISTEMPER,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/MTYx,oc\265 OF 2017 DATED 09-10-2017-OC_uploaded.pdf
235 OF 2017 DATED 19-09-2018,PLATINUM HEIGHTS,KLJ DEVELOPERS PVT LTD,"KLJ GROUP HOUSING COLONY, SEC
TOR-77, VILLAGE NEEMKA, SUB-TEHSIL TIGAON",FARIDABAD,17.42,11.39,Yes,375.90,9.95,16.07,61.10,0,24.81,0,0,0,0,0,208,67,2.033 (Acre),30-06-2018,100,"DRG-DIN VITRIFIED TILES, KIT, BAL, TOI: ANTISKID TILES, BEDRMS: WOODEN PATERN CERAMIC TILES. CORRIDOR KOTA, PARKING TRIMAX, ROAD CC",RCC PLATFORM WITH GRANITE TOP SS SINK WITH CP FITTINGS OF RYBO MAKE,MARANDI FRAMES DOOR SHUTTER WINDOW UPVC WINDOWS WITH GLASS,SWITCHES OF ABB MAKE,2 LIFTS IN EACH TOWER WITH 10 & 13 PERSONS EACH CAPACITY WITH DEEP WELL LIFT,WIRE AND SWITCHES ONLY,OBD WHITE COLOUR,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Njcz,oc\235 OF 2017 DATED 19-09-2018-OC_uploaded.pdf
246 OF 2017 DATED 29-09-2017,EWS (POCKET-J),KLJ DEVELOPERS PVT LTD,"SECTOR-77, VILLAGE NEEMKA, SU
B-TEHSIL TIGAON",FARIDABAD,3.86,1.38,Yes,31.14,2.12,0.40,8.48,0,0,0,0,0,0,0,152,152,0.46 (Acre),30-06-2018,100,CEMENT FLOORING,IPS ON KITCHEN PLATFORM,MS DOOR FRAME,LIGHT POINTS & SWITCHES,2 LIFTS OF 10 & 13 PERSONS CAPACITY,LIGHT POINTS & SWITCHES,LIME WASH,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Njcy,oc\233 OF 2017-OC_uploaded.pdf
216 OF 2017,IBIZA TOWN,KRRISH SHALIMAR PROJECTS PVT LTD,"SECTOR-39, SURAJKUND ROAD, FA
RIDABAD.",FARIDABAD,250,425,No,800,132.37,38.94,449.48,500,350,200,20.15,-1,0,0,266,166,10.15 (Acre),31-12-2018,0,MASTER BR - LAMINATED/ WOODEN MBR TOILET DESIGNER TILE OTHER BEDROOMS IMPORTED MARBLE OTHER BEDROOM TOILET VITRIFIED TILE SERVANT ROOM AND TOILET CERAMIC TILE KITCHEN GRANITE APARTMENT BALCONY VITRIFIED TILE MAIN STAIRCASE GRANITE FIRE STAIRCASE KOTA STONE,MODULAR MAKE MAGPPIE,VEER DOOR AND LAMINATED DOOR WINDOWS HAVE TOUGHENED GLASS,CONDUIT USED HEAVY DUTY AKG OR BEC MAKE WIRE USED IS FRLS POLYCAB OR HEWELS MAKE SWITCH SOCKET PANASONIC MAKE LIGHTS ARE LED BASED GEAR UP MAKE,2 NOS. 15 PASSENGER 1020 KGS EACH IN EACH TOWER KONE MAKE SPEED 1.75 METRES PER SECOND CAR CEILING AND PANELS TO BE SS HAIRLINE FINISH CAR ILLUMINATION WITH LED LIGHTS,CONDUIT USED HEAVY DUTY AKG OR BEC MAKE WIRE USED IS FRLS POLYCAB OR HEWELS MAKE SWITCH SOCKET PANASONIC MAKE LIGHTS ARE LED BASED GEAR UP MAKE,ACRYLIC EMULSION,https://haryanarera.gov.in/assistancecontrol/view_corrigendum/Mjc=,oc\21 of 2018-OC_uploaded.pdf
